# Polymarket Sniper V5 — Session Log
# Generated: 2026-03-01 09:58:28
# Snapshot rows logged every ~15s. TRADE_EVENT rows on buy/sell/settle.
#
# SNAPSHOT FIELDS:
#   Timestamp      — Wall-clock time of snapshot
#   SimBal         — Simulated wallet balance (USD)
#   LiveBal        — Live Polymarket wallet balance (USD)
#   RiskBankroll   — Current risk-adjusted bankroll available for bets (USD)
#   TimeRem        — Time remaining in current 5-min window (MM:SS)
#   BTC_Price      — Live BTC/USD price from Kraken WS / Binance fallback
#   BTC_Open       — BTC price at window open (Kraken REST)
#   BTC_Diff       — BTC_Price minus BTC_Open (USD)
#   BTC_Range      — Intra-window high-low price range (USD)
#   Odds_Score     — Polymarket UP-DN bid skew in cents (+ve = UP favoured)
#   Trend_4H       — 4-hour macro trend direction (S-UP/M-UP/W-UP/NEUTRAL/W-DOWN/M-DOWN/S-DOWN)
#   Trend_1H       — 1-hour trend direction (same scale)
#   RSI_1m         — 14-period RSI on 1-minute Binance candles
#   ATR_5m         — 5-period Average True Range on 1-minute candles (USD)
#   Sig_Slingshot  — Slingshot scanner signal this tick (WAIT/OFF/BET_UP/BET_DOWN)
#   Sig_Cobra      — Cobra scanner signal this tick
#   Sig_Flag       — BullFlag scanner signal this tick
#   Master_Score   — Net scanner consensus: (# UP signals) minus (# DOWN signals)
#   Master_Status  — Aggregate direction: BUY_UP / BUY_DN / NEUTRAL
#   Active_Scanners— Count of scanners firing a BET signal this tick
#   UP_Price       — Polymarket UP option midpoint price
#   DN_Price       — Polymarket DOWN option midpoint price
#   UP_Bid         — Polymarket UP option best bid
#   DN_Bid         — Polymarket DOWN option best bid
#   Shares_UP      — Current UP shares held
#   Shares_DN      — Current DOWN shares held
#
# TRADE_EVENT FIELDS (interleaved rows):
#   TRADE_EVENT,Time,Type,Side,Amount,ExecPrice,SigPrice,Slippage,Shares,RSI,Trend,RiskBal,MainBal,Note
Timestamp,SimBal,LiveBal,RiskBankroll,TimeRem,BTC_Price,BTC_Open,BTC_Diff,BTC_Range,Odds_Score,Trend_4H,Trend_1H,RSI_1m,ATR_5m,Sig_Slingshot,Sig_Cobra,Sig_Flag,Master_Score,Master_Status,Active_Scanners,UP_Price,DN_Price,UP_Bid,DN_Bid,Shares_UP,Shares_DN
2026-03-01 09:58:30,100.00,94.74,100.00,01:30,0.00,0.00,0.00,0.00,0,NEUTRAL,NEUTRAL,50.0,0.00,OFF,OFF,OFF,0,NEUTRAL,0,0.500,0.500,0.500,0.500,0.00,0.00
2026-03-01 09:58:46,100.00,94.74,100.00,01:14,67114.31,67109.80,4.51,4.51,-25.0,S-UP,NEUTRAL,52.1,19.69,OFF,OFF,OFF,0,NEUTRAL,0,0.375,0.625,0.380,0.630,0.00,0.00
2026-03-01 09:59:01,100.00,94.74,100.00,00:59,67113.69,67109.80,3.89,8.30,-29.0,S-UP,NEUTRAL,52.4,24.01,OFF,OFF,OFF,0,NEUTRAL,0,0.355,0.645,0.360,0.650,0.00,0.00
2026-03-01 09:59:17,100.00,94.74,100.00,00:43,67113.69,67109.80,3.89,8.40,-35.0,S-UP,NEUTRAL,52.4,20.86,OFF,OFF,OFF,0,NEUTRAL,0,0.325,0.675,0.330,0.680,0.00,0.00
2026-03-01 09:59:33,100.00,94.74,100.00,00:27,67118.20,67109.80,8.40,8.40,-27.0,S-UP,NEUTRAL,53.3,21.95,OFF,OFF,OFF,0,NEUTRAL,0,0.365,0.635,0.370,0.640,0.00,0.00
2026-03-01 09:59:49,100.00,94.74,100.00,00:11,67118.20,67109.80,8.40,8.40,67.0,S-UP,NEUTRAL,53.3,21.95,OFF,OFF,OFF,0,NEUTRAL,0,0.835,0.165,0.840,0.170,0.00,0.00
TRADE_EVENT,2026-03-01 09:59:50,BUY,DOWN,12.00,0.49000,0.49000,0.00000,24.49,0.00,N/A,0.00,88.00,PreBuy_Reversal (gap:1.0¢ | Winner:UP)
TRADE_EVENT,2026-03-01 09:59:59,SETTLE,UP,0.00,1.00000,1.00000,0.00000,0.00,0.00,N/A,0.00,88.00,Win: UP | PnL: -12.00
2026-03-01 10:00:05,88.00,94.74,88.00,04:55,67126.45,67109.80,16.65,16.65,99.0,S-UP,NEUTRAL,55.7,26.32,OFF,OFF,OFF,0,NEUTRAL,0,0.995,0.010,1.000,0.010,0.00,0.00
2026-03-01 10:00:21,88.00,94.74,88.00,04:39,67143.30,67129.80,13.50,13.50,25.0,S-UP,NEUTRAL,59.8,27.45,OFF,OFF,OFF,1,BUY_UP,1,0.625,0.375,0.630,0.380,0.00,0.00
