Window_ID,Pre_15s_Gap,BTC_Pre_15s,BTC_Pre_60s,BTC_Velocity_60s,Gap_5s,BTC_5s,Gap_10s,BTC_10s,Gap_15s,BTC_15s,Poly_Spread_15s,UP_Bid_15s,DN_Bid_15s,First_55c_Side,First_55c_Time,First_60c_Side,First_60c_Time,First_65c_Side,First_65c_Time,RSI_1m,V_1m,Drawdown_UP,Drawdown_DN,ATR_5m,BTC_Open,BTC_Close,Winner
1772322900,,,,0.00,,,,,,,,,,DOWN,266,DOWN,266,DOWN,266,50.59,4,11.33,8.10,25.23,66984.60,66991.90,UP
1772323200,,,67041.3,-55.70,,,,,,,,,,DOWN,299,DOWN,299,DOWN,299,57.92,53,14.50,132.20,65.70,66985.60,67049.50,UP
1772323500,,,66871.42027982,174.84,-0.13000000000000006,67044.0,,,,,,,,UP,298,UP,298,UP,298,35.54,10,231.26,3.24,71.88,67046.26,66829.70,DOWN
1772323800,,,66862.7,-22.77,,,,,0.18999999999999995,66856.0,-0.010000000000000009,0.6,0.41,DOWN,299,DOWN,299,DOWN,299,47.61,7,6.03,79.47,43.00,66839.93,66919.40,UP
1772324100,,,66922.7,-3.40,0.0,66919.4,,,0.16999999999999998,66917.634,-0.010000000000000009,0.59,0.42,UP,297,UP,297,UP,297,42.59,5,68.40,16.10,32.20,66919.30,66861.70,DOWN
1772324400,,,67025.79126819,-164.09,,,,,,,,,,DOWN,299,DOWN,299,DOWN,299,52.30,8,9.16,164.09,51.18,66861.70,66967.30,UP
1772324700,,,66823.7,136.04,,,-0.11000000000000004,66950.9,,,,,,UP,298,UP,298,UP,298,39.10,9,181.42,0.00,68.38,66959.74,66778.32,DOWN
1772325000,,,66732.9,57.29,0.20999999999999996,66791.9,,,0.34,66800.6,-0.010000000000000009,0.67,0.33,UP,1,UP,5,UP,9,36.15,10,69.26,42.61,43.83,66790.19,66737.60,DOWN
1772325300,,,66800.3,-62.70,,,0.53,66780.7,,,,,,DOWN,299,DOWN,299,DOWN,299,40.73,6,0.00,76.70,47.36,66737.60,66753.97,UP
1772325600,,,66659.8,93.20,0.19999999999999996,66752.9,,,0.13000000000000006,66768.89307934,-0.009999999999999898,0.57,0.44,UP,298,UP,298,UP,298,34.82,3,117.84,15.89,54.33,66753.00,66647.40,DOWN
1772325900,,,,0.00,0.21999999999999997,66647.5,,,,,,,,DOWN,298,DOWN,298,DOWN,298,45.00,14,0.10,129.10,62.07,66647.50,66707.60,UP
1772326200,,,66824.1,-116.50,,,,,0.010000000000000009,66690.08,-0.010000000000000009,0.51,0.5,UP,297,UP,297,UP,297,59.37,7,17.52,142.60,51.08,66707.60,66833.05,UP
1772326500,,,66828.7,16.83,,,,,,,,,,UP,298,UP,298,UP,298,51.61,5,52.33,16.77,26.04,66845.53,66823.40,DOWN
1772326800,,,66718.57928027,104.82,,,,,-0.37000000000000005,66773.2,-0.010000000000000009,0.32,0.69,DOWN,299,DOWN,299,DOWN,299,37.78,32,191.60,0.00,101.79,66823.40,66631.80,DOWN
1772327100,,,,0.00,0.27,66612.5,,,,,,,,DOWN,298,DOWN,298,DOWN,298,30.98,12,150.80,50.88,64.90,66619.50,66468.70,DOWN
1772327400,,,66298.1,170.70,0.29000000000000004,66469.0,,,,,,,,DOWN,299,DOWN,299,DOWN,299,31.41,11,246.00,63.50,117.34,66468.80,66307.28,DOWN
1772327700,,,66191.4,115.88,,,,,0.07,66291.8,-0.010000000000000009,0.54,0.47,DOWN,299,DOWN,299,DOWN,299,33.67,9,220.68,0.00,97.52,66307.28,66180.10,DOWN
1772328000,,,66333.4,-139.92,,,0.16999999999999998,66235.2,,,,,,DOWN,299,DOWN,299,DOWN,299,50.59,5,4.08,254.92,89.17,66193.48,66432.60,UP
1772328300,,,66341.61793869,73.80,,,,,,,,,,UP,298,UP,298,UP,298,46.05,5,82.70,39.42,42.85,66415.42,66357.60,DOWN
1772328600,,,,0.00,,,,,,,,,,DOWN,299,DOWN,299,DOWN,299,60.15,44,44.20,222.80,76.31,66357.60,66557.50,UP
1772328900,,,66633.7,-76.20,,,,,,,,,,UP,299,UP,299,UP,299,62.10,25,0.00,220.45,89.64,66557.50,66656.40,UP
1772329200,,,,0.00,,,-0.07,66680.106615,,,,,,UP,299,UP,299,UP,299,56.71,24,1.24,97.62,54.06,66635.58,66640.00,DOWN
1772329500,,,,0.00,-0.050000000000000044,66640.0,,,,,,,,DOWN,293,DOWN,293,DOWN,293,81.93,126,0.00,631.17,155.41,66621.83,67234.80,UP
1772329800,,,67438.6,-138.80,-0.009999999999999953,67339.1,,,0.41000000000000003,67415.4,-0.08999999999999997,0.75,0.34,UP,299,UP,299,UP,299,71.09,48,0.00,364.20,235.33,67299.80,67346.20,UP
1772330100,,,67214.6,124.00,-0.25,67302.7,,,-0.47,67271.2,-0.010000000000000009,0.27,0.74,UP,297,UP,297,UP,297,50.00,0,124.00,31.67,104.70,67338.60,67346.40,DOWN
1772330400,,,68178.4,-798.00,,,0.20999999999999996,67391.9,,,,,,DOWN,298,DOWN,298,DOWN,298,74.40,44,34.00,798.00,250.27,67380.40,67999.30,UP
1772330700,,,67809.3,248.30,0.12000000000000005,68091.7,,,,,,,,UP,298,UP,298,UP,298,60.12,80,348.30,39.10,157.78,68057.60,67796.70,DOWN
1772331000,,,67897.1,-127.70,,,,,,,,,,DOWN,297,DOWN,297,DOWN,297,60.98,15,40.00,203.90,130.39,67769.40,67865.10,UP
