Timestamp,Mode,SimBal,LiveBal,RiskBankroll,TimeRem,BTC_Price,BTC_Open,BTC_Diff,BTC_Range,Odds_Score,Trend_Prob,Trend_Score,Sig_Slingshot,Sig_Poly,Sig_Cobra,Sig_Flag,Sig_TrendOdds,Master_Score,Master_Status,UP_Price,DN_Price,UP_Bid,DN_Bid,Shares_UP,Shares_DN,Note
2026-02-28 21:28:55,SIM,100.00,94.74,100.00,01:05,0.00,0.00,0.00,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.500,0.500,0.500,0.500,0.00,0.00,-
2026-02-28 21:29:11,SIM,100.00,94.74,100.00,00:49,66478.60,66550.00,-71.40,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.115,0.885,0.120,0.890,0.00,0.00,-
2026-02-28 21:29:26,SIM,100.00,94.74,100.00,00:34,66481.44,66550.00,-68.56,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.065,0.935,0.070,0.940,0.00,0.00,-
2026-02-28 21:29:42,SIM,100.00,94.74,100.00,00:18,66475.50,66550.00,-74.50,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.025,0.975,0.030,0.980,0.00,0.00,-
TRADE_EVENT,2026-02-28 21:29:48,BUY,UP,10.00,0.50000,0.50000,0.00000,20.00,0.00,N/A,0.00,90.00,PreBuy_Reversal (gap:1.0¢ | Winner:DOWN)
2026-02-28 21:29:58,SIM,90.00,94.74,90.00,00:02,66493.36,66550.00,-56.64,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.010,0.995,0.010,1.000,20.00,0.00,-
TRADE_EVENT,2026-02-28 21:29:59,SETTLE,DOWN,0.00,1.00000,1.00000,0.00000,0.00,0.00,N/A,0.00,90.00,Win: DOWN | PnL: -10.00
2026-02-28 21:30:13,SIM,90.00,94.74,90.00,04:47,66488.90,66493.36,-4.46,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.615,0.380,0.620,0.380,0.00,0.00,-
TRADE_EVENT,2026-02-28 21:30:17,BUY,UP,10.80,0.63000,0.63000,0.00000,17.14,45.73,UP,0.00,79.20,MAX_BET_UP_RECLAIM|Reclaimed MA20
2026-02-28 21:30:29,SIM,79.20,94.74,79.20,04:31,66503.37,66493.36,10.00,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.605,0.385,0.610,0.390,17.14,0.00,-
2026-02-28 21:30:44,SIM,79.20,94.74,79.20,04:16,66499.90,66493.36,6.54,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.655,0.345,0.670,0.360,17.14,0.00,-
TRADE_EVENT,2026-02-28 21:30:58,BUY,DOWN,5.50,0.54000,66482.40000,-66481.86000,10.19,42.84,UP,79.20,73.70,Pending: BET_DOWN_FAKEOUT|Rejected Rescue & Trend Align
2026-02-28 21:31:01,SIM,73.70,94.74,73.70,03:59,66482.40,66493.36,-10.96,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.455,0.545,0.460,0.550,17.14,10.19,-
2026-02-28 21:31:16,SIM,73.70,94.74,73.70,03:44,66482.30,66493.36,-11.06,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.605,0.385,0.610,0.380,17.14,10.19,-
2026-02-28 21:31:31,SIM,73.70,94.74,73.70,03:29,66501.30,66493.36,7.94,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.720,0.280,0.730,0.290,17.14,10.19,-
2026-02-28 21:31:46,SIM,73.70,94.74,73.70,03:14,66501.30,66493.36,7.94,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.715,0.285,0.720,0.290,17.14,10.19,-
2026-02-28 21:32:02,SIM,73.70,94.74,73.70,02:58,66509.10,66493.36,15.74,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.715,0.285,0.720,0.290,17.14,10.19,-
2026-02-28 21:32:17,SIM,73.70,94.74,73.70,02:43,66478.60,66493.36,-14.76,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.395,0.605,0.400,0.610,17.14,10.19,-
2026-02-28 21:32:33,SIM,73.70,94.74,73.70,02:27,66459.13,66493.36,-34.23,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.455,0.545,0.460,0.550,17.14,10.19,-
2026-02-28 21:32:48,SIM,73.70,94.74,73.70,02:12,66478.60,66493.36,-14.76,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.375,0.640,0.380,0.660,17.14,10.19,-
2026-02-28 21:33:03,SIM,73.70,94.74,73.70,01:57,66418.70,66493.36,-74.66,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.145,0.855,0.160,0.870,17.14,10.19,-
2026-02-28 21:33:19,SIM,73.70,94.74,73.70,01:41,66456.10,66493.36,-37.26,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.335,0.665,0.340,0.670,17.14,10.19,-
2026-02-28 21:33:34,SIM,73.70,94.74,73.70,01:26,66456.00,66493.36,-37.36,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.240,0.765,0.240,0.770,17.14,10.19,-
2026-02-28 21:33:49,SIM,73.70,94.74,73.70,01:11,66471.90,66493.36,-21.46,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.605,0.330,0.580,0.370,17.14,10.19,-
2026-02-28 21:34:04,SIM,73.70,94.74,73.70,00:56,66506.60,66493.36,13.24,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.895,0.105,0.900,0.110,17.14,10.19,-
2026-02-28 21:34:21,SIM,73.70,94.74,73.70,00:39,66543.40,66493.36,50.04,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.965,0.035,0.970,0.040,17.14,10.19,-
TRADE_EVENT,2026-02-28 21:34:36,BUY,UP,2.00,0.86000,0.86000,0.00000,2.33,47.73,UP,0.00,71.70,BET_UP_MOSHE_90|High Probability Win (BTC Diff: $50.04)
2026-02-28 21:34:36,SIM,71.70,94.74,71.70,00:24,66525.20,66493.36,31.84,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.800,0.195,0.810,0.210,19.47,10.19,-
TRADE_EVENT,2026-02-28 21:34:47,BUY,UP,10.00,0.51000,0.51000,0.00000,19.61,0.00,N/A,0.00,61.70,PreBuy_Follow Lead (3.0¢ gap)
2026-02-28 21:34:52,SIM,61.70,94.74,61.70,00:08,66550.33,66493.36,56.97,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.960,0.045,0.970,0.060,39.08,10.19,-
TRADE_EVENT,2026-02-28 21:34:59,SELL,UP,39.08,1.00000,1.00000,0.00000,39.08,0.00,N/A,0.00,100.78,MAX PROFIT (99¢) | Ent: 50.0¢ -> 99.5¢ (+99.0%)
TRADE_EVENT,2026-02-28 21:34:59,SETTLE,UP,0.00,1.00000,1.00000,0.00000,0.00,0.00,N/A,0.00,100.78,Win: UP | PnL: 10.78
2026-02-28 21:35:08,SIM,100.78,94.74,100.00,04:52,66505.30,66505.20,0.10,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.595,0.415,0.600,0.420,0.00,0.00,-
2026-02-28 21:35:24,SIM,100.78,94.74,100.00,04:36,66534.60,66505.20,29.40,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.675,0.325,0.680,0.330,0.00,0.00,-
2026-02-28 21:35:40,SIM,100.78,94.74,100.00,04:20,66541.40,66505.20,36.20,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.655,0.345,0.660,0.350,0.00,0.00,-
2026-02-28 21:35:56,SIM,100.78,94.74,100.00,04:04,66558.50,66505.20,53.30,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.695,0.305,0.700,0.310,0.00,0.00,-
TRADE_EVENT,2026-02-28 21:36:00,BUY,UP,20.04,0.77000,0.77000,0.00000,26.03,53.53,UP,0.00,80.74,BET_UP_COBRA|Explosive breakout
2026-02-28 21:36:12,SIM,80.74,94.74,79.96,03:48,66583.60,66505.20,78.40,0.00,0,0.5000,3,WAIT,N/A,WAIT,WAIT,N/A,0,NEUTRAL,0.685,0.315,0.690,0.320,26.03,0.00,-
