# Polymarket Sniper V5 — Session Log
# Generated: 2026-03-06 20:29:46
# Snapshot rows logged every ~15s. TRADE_EVENT rows on buy/sell/settle.
#
# SNAPSHOT FIELDS:
#   Timestamp      — Wall-clock time of snapshot
#   SimBal         — Simulated wallet balance (USD)
#   LiveBal        — Live Polymarket wallet balance (USD)
#   RiskBankroll   — Current risk-adjusted bankroll available for bets (USD)
#   TimeRem        — Time remaining in current 5-min window (MM:SS)
#   BTC_Price      — Live BTC/USD price from Kraken WS / Binance fallback
#   BTC_Open       — BTC price at window open (Kraken REST)
#   BTC_Diff       — BTC_Price minus BTC_Open (USD)
#   BTC_Range      — Intra-window high-low price range (USD)
#   Odds_Score     — Polymarket UP-DN bid skew in cents (+ve = UP favoured)
#   Trend_4H       — 4-hour macro trend direction (S-UP/M-UP/W-UP/NEUTRAL/W-DOWN/M-DOWN/S-DOWN)
#   Trend_1H       — 1-hour trend direction (same scale)
#   RSI_1m         — 14-period RSI on 1-minute Binance candles
#   ATR_5m         — 5-period Average True Range on 1-minute candles (USD)
#   Sig_Slingshot  — Slingshot scanner signal this tick (WAIT/OFF/BET_UP/BET_DOWN)
#   Sig_Cobra      — Cobra scanner signal this tick
#   Sig_CoiledCobra— Coiled Cobra (CCO) scanner signal this tick
#   Sig_Flag       — BullFlag scanner signal this tick
#   Master_Score   — Net scanner consensus: (# UP signals) minus (# DOWN signals)
#   Master_Status  — Aggregate direction: BUY_UP / BUY_DN / NEUTRAL
#   Active_Scanners— Count of scanners firing a BET signal this tick
#   UP_Price       — Polymarket UP option midpoint price
#   DN_Price       — Polymarket DOWN option midpoint price
#   UP_Bid         — Polymarket UP option best bid
#   DN_Bid         — Polymarket DOWN option best bid
#   Shares_UP      — Current UP shares held
#   Shares_DN      — Current DOWN shares held
#
# TRADE_EVENT FIELDS (interleaved rows):
#   TRADE_EVENT,Time,Type,Side,Amount,ExecPrice,SigPrice,Slippage,Shares,RSI,Trend,RiskBal,MainBal,Note
Timestamp,SimBal,LiveBal,RiskBankroll,TimeRem,BTC_Price,BTC_Open,BTC_Diff,BTC_Range,Odds_Score,Trend_4H,Trend_1H,RSI_1m,ATR_5m,Sig_Slingshot,Sig_Cobra,Sig_CoiledCobra,Sig_Flag,Master_Score,Master_Status,Active_Scanners,UP_Price,DN_Price,UP_Bid,DN_Bid,Shares_UP,Shares_DN
2026-03-06 20:29:48,100.00,97.12,0.00,00:00,0.00,0.00,0.00,0.00,0,NEUTRAL,NEUTRAL,50.0,0.00,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.500,0.500,0.500,0.500,0.00,0.00
TRADE_EVENT,2026-03-06 20:29:59,SETTLE,DOWN,0.00,1.00000,1.00000,0.00000,0.00,0.00,N/A,0.00,100.00,Win: DOWN | PnL: 0.00
2026-03-06 20:30:04,100.00,97.12,100.00,00:00,68269.70,68373.70,-104.00,104.00,-99.1,NEUTRAL,S-DOWN,51.5,54.49,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.009,0.995,0.009,1.000,0.00,0.00
2026-03-06 20:30:20,100.00,97.12,100.00,04:40,68286.39,68292.00,-5.61,10.10,17.0,NEUTRAL,S-DOWN,54.1,52.34,OFF,OFF,OFF,OFF,-1,BUY_DN,1,0.585,0.415,0.590,0.420,0.00,0.00
2026-03-06 20:30:35,100.00,97.12,100.00,04:25,68306.30,68292.00,14.30,24.40,23.0,NEUTRAL,S-DOWN,54.5,53.25,OFF,OFF,OFF,OFF,-1,BUY_DN,1,0.615,0.385,0.620,0.390,0.00,0.00
2026-03-06 20:30:51,100.00,97.12,100.00,04:09,68311.90,68292.00,19.90,35.62,23.1,NEUTRAL,S-DOWN,55.0,54.35,OFF,OFF,OFF,OFF,-1,BUY_DN,1,0.615,0.385,0.620,0.389,0.00,0.00
TRADE_EVENT,2026-03-06 20:31:05,BUY,UP,3.60,0.66100,0.66100,0.00000,5.45,56.12,S-DOWN,0.00,96.40,BET_UP_VSN|Vol Lead U! 276.1B > 100B
2026-03-06 20:31:07,96.40,97.12,96.40,03:53,68348.60,68292.00,56.60,66.70,33.1,NEUTRAL,S-DOWN,56.1,58.38,OFF,OFF,OFF,OFF,0,NEUTRAL,2,0.665,0.335,0.670,0.339,5.45,0.00
2026-03-06 20:31:23,96.40,97.12,96.40,03:37,68416.90,68292.00,124.90,135.00,71.0,NEUTRAL,S-DOWN,62.1,62.52,OFF,OFF,OFF,OFF,0,NEUTRAL,2,0.855,0.145,0.860,0.150,5.45,0.00
2026-03-06 20:31:38,96.40,97.12,96.40,03:22,68417.00,68292.00,125.00,135.10,73.9,NEUTRAL,S-DOWN,62.2,62.52,OFF,OFF,OFF,OFF,0,NEUTRAL,2,0.870,0.130,0.879,0.140,5.45,0.00
2026-03-06 20:31:54,96.40,97.12,96.40,03:07,68349.86,68292.00,57.86,135.10,84.1,NEUTRAL,S-DOWN,62.1,63.47,OFF,OFF,OFF,OFF,0,NEUTRAL,2,0.920,0.080,0.930,0.089,5.45,0.00
