Window_ID,Pre_15s_Gap,BTC_Pre_15s,BTC_Pre_60s,BTC_Velocity_60s,Gap_5s,BTC_5s,Gap_10s,BTC_10s,Gap_15s,BTC_15s,Poly_Spread_15s,UP_Bid_15s,DN_Bid_15s,First_55c_Side,First_55c_Time,First_60c_Side,First_60c_Time,First_65c_Side,First_65c_Time,RSI_1m,V_1m,Drawdown_UP,Drawdown_DN,ATR_5m,BTC_Open,BTC_Close,Winner
1772300100,0.030000000000000027,65071.315485,65063.1,61.30,,,,,,,,,,DOWN,210,DOWN,210,DOWN,210,52.85,12,61.40,-19.80,29.58,65124.40,65080.37,DOWN
1772300400,0.030000000000000027,64968.0,64964.1,107.22,,,,,-0.11000000000000004,65085.2,-0.010000000000000009,0.45,0.56,DOWN,15,DOWN,16,DOWN,50,40.08,7,163.62,30.88,56.09,65071.32,64968.20,DOWN
1772300700,-0.020000000000000018,65111.48811612,65133.5,-165.40,,,0.020000000000000018,64968.1,,,,,,UP,17,UP,23,DOWN,63,58.18,8,104.50,190.80,87.56,64968.10,65111.20,UP
1772301000,0.010000000000000009,65145.5,65158.7,-47.50,,,,,,,,,,UP,299,UP,299,UP,299,57.30,2,0.00,65.40,31.88,65111.20,65134.41,UP
1772301300,-0.09000000000000002,65442.1,65440.4,-305.99,,,-0.020000000000000018,65145.6,,,,,,UP,297,UP,297,UP,297,77.10,119,0.00,365.59,107.15,65134.41,65442.10,UP
1772301600,-0.030000000000000027,65386.6,,0.00,,,-0.31,65422.8,,,,,,UP,298,UP,298,UP,298,63.14,4,96.60,29.40,76.37,65442.10,65386.50,DOWN
1772301900,-0.010000000000000009,65376.8,65380.1,6.50,-0.010000000000000009,65386.6,-0.11000000000000004,65386.6,,,,,,DOWN,298,DOWN,298,DOWN,298,60.60,4,53.10,65.00,50.31,65386.60,65364.00,DOWN
1772302200,0.04999999999999999,65284.2,,0.00,-0.07,65379.1,,,,,,,,DOWN,298,DOWN,298,DOWN,298,49.19,6,92.60,28.60,43.91,65376.70,65287.00,DOWN
1772302500,0.010000000000000009,65330.8,65289.4,-2.50,0.15000000000000008,65286.9,,,,,,,,DOWN,299,DOWN,299,DOWN,299,55.82,2,22.80,55.43,41.52,65286.90,65342.33,UP
1772302800,0.08000000000000002,65229.62,65205.7,136.63,-0.010000000000000009,65341.6,-0.07,65341.5,,,,,,UP,299,UP,299,UP,299,42.06,8,142.53,8.17,46.80,65342.33,65209.90,DOWN
1772303100,-0.06,65244.9,65233.47693717,-23.28,-0.010000000000000009,65210.1,,,,,,,,DOWN,13,UP,50,UP,53,41.99,2,11.20,40.26,37.96,65210.20,65228.70,DOWN
1772303400,-0.06,65432.0,65394.4,-184.90,0.18999999999999995,65209.5,,,,,,,,DOWN,299,DOWN,299,DOWN,299,64.96,2,0.00,241.70,90.03,65209.50,65451.20,UP
1772303700,-0.09000000000000002,65663.814238,65708.9,-257.80,,,0.15999999999999998,65448.48450163,0.11000000000000004,65469.8,-0.010000000000000009,0.56,0.45,UP,298,UP,298,UP,298,72.29,10,2.62,353.20,107.98,65451.10,65719.10,UP
1772304000,-0.010000000000000009,65682.1,65644.3,74.80,-0.09000000000000002,65719.1,,,,,,,,UP,299,UP,299,UP,299,64.70,5,86.40,39.10,57.36,65719.10,65664.89,DOWN
1772304300,-0.06,65738.8,65718.9,-54.01,,,,,-0.030000000000000027,65673.4,-0.030000000000000027,0.5,0.51,DOWN,297,DOWN,297,DOWN,297,65.25,14,24.49,94.01,66.38,65664.89,65717.60,UP
1772304600,-0.15000000000000008,65950.8,65899.4,-181.90,-0.11000000000000004,65712.91017969,,,,,,,,DOWN,5,UP,21,UP,24,76.06,47,9.85,257.20,90.83,65717.50,65968.50,UP
