Window_ID,Pre_15s_Gap,BTC_Pre_15s,BTC_Pre_60s,BTC_Velocity_60s,Gap_5s,BTC_5s,Gap_10s,BTC_10s,Gap_15s,BTC_15s,Poly_Spread_15s,UP_Bid_15s,DN_Bid_15s,First_55c_Side,First_55c_Time,First_60c_Side,First_60c_Time,First_65c_Side,First_65c_Time,RSI_1m,V_1m,Drawdown_UP,Drawdown_DN,ATR_5m,BTC_Open,BTC_Close,Winner
1772483100,,,,0.00,,,,,,,,,,UP,244,UP,244,UP,244,52.95,11,6.70,32.90,71.92,68998.80,68992.10,DOWN
1772483400,,,69087.1,-129.20,0.050000000000000044,68967.7,,,0.07099502487562187,68967.7,-0.009004975124378145,0.54,0.4690049751243781,UP,20,UP,20,UP,35,63.98,8,38.20,180.50,81.86,68957.90,69116.20,UP
1772483700,,,69145.63,-29.33,,,,,-0.45999999999999996,69065.4,0.0,0.27,0.74,DOWN,0,DOWN,8,DOWN,11,54.67,7,63.73,53.80,65.01,69116.30,69114.80,DOWN
1772484000,,,69211.6,-146.20,,,,,0.14000000000000007,69107.0,-0.019999999999999907,0.58,0.4290049751243781,UP,3,UP,4,UP,8,64.75,10,0.88,162.80,56.98,69065.40,69223.10,UP
1772484300,,,69384.9,-148.50,-0.03099502487562189,69236.4,,,,,,,,UP,296,UP,296,UP,296,72.63,13,37.00,197.90,111.67,69236.40,69397.04,UP
1772484600,,,69379.5,49.90,,,-0.20999999999999996,69398.2,,,,,,UP,298,UP,298,UP,298,63.15,23,129.40,81.70,91.30,69429.40,69365.20,DOWN
1772484900,,,69276.8,83.80,0.010000000000000009,69374.6,,,-0.050000000000000044,69339.9,-0.010000000000000009,0.48,0.53,UP,11,DOWN,18,DOWN,31,41.37,19,199.20,14.00,84.39,69360.60,69161.40,DOWN
1772485200,,,69091.1,66.10,0.18999999999999995,69122.6,,,0.0,69049.4,-0.06000000000000005,0.53,0.53,DOWN,298,DOWN,298,DOWN,298,42.80,6,149.69,4.20,85.57,69157.20,69069.30,DOWN
1772485500,,,69210.92,-134.32,,,,,,,,,,UP,13,UP,13,UP,19,49.65,5,1.79,190.60,71.99,69076.60,69215.10,UP
1772485800,,,69166.6,15.63,0.010000000000000009,69196.13,,,-0.010995024875621873,69204.0,-0.00900497512437809,0.4990049751243781,0.5090049751243781,UP,298,UP,298,UP,298,57.26,4,76.63,117.37,70.59,69182.23,69299.60,UP
1772486100,,,69275.6,24.00,,,,,,,,,,DOWN,34,DOWN,34,DOWN,39,49.47,3,73.50,0.00,44.63,69299.60,69226.10,DOWN
1772486400,,,69368.7,-142.60,,,-0.10000000000000003,69189.8,,,,,,DOWN,299,DOWN,299,DOWN,299,64.45,5,36.30,196.90,55.51,69226.10,69402.10,UP
1772486700,,,69354.38,68.52,,,-0.22999999999999998,69389.7,,,,,,UP,298,UP,298,UP,298,63.08,5,99.11,13.30,49.65,69422.90,69413.13,UP
1772487000,,,69412.3,2.30,-0.09099502487562189,69440.3,,,-0.010000000000000009,69426.3,-0.00900497512437809,0.4990049751243781,0.5090049751243781,UP,299,UP,299,UP,299,62.68,9,53.86,33.00,51.03,69414.60,69422.30,UP
1772487300,,,69411.8,10.50,,,-0.31099502487562186,69419.3,,,,,,UP,299,UP,299,UP,299,63.12,4,44.70,33.40,50.65,69422.30,69450.80,UP
1772487600,,,69443.5,9.00,-0.24900497512437808,69437.5,,,,,,,,UP,298,UP,298,UP,298,61.47,3,61.68,8.50,31.21,69452.50,69432.60,DOWN
1772487900,,,69475.3,-14.10,-0.08000000000000002,69461.1,,,,,,,,DOWN,12,UP,75,UP,75,55.24,15,20.68,72.10,49.70,69461.20,69440.52,DOWN
1772488200,,,69466.0,-10.90,,,0.19099502487562192,69455.2,,,,,,DOWN,299,DOWN,299,DOWN,299,57.70,3,43.10,51.20,45.60,69455.10,69506.20,UP
1772488500,,,69406.22,86.78,,,0.14999999999999997,69493.0,,,,,,UP,297,UP,297,UP,297,49.31,4,106.44,3.70,41.97,69493.00,69426.40,DOWN
1772488800,,,69489.7,-67.20,0.16999999999999998,69420.7,,,0.2090049751243781,69420.7,-0.020000000000000018,0.62,0.4,DOWN,299,DOWN,299,DOWN,299,39.76,7,87.43,83.40,61.07,69422.50,69359.40,DOWN
1772489100,,,69470.2,-124.80,,,0.19099502487562192,69366.3,,,,,,DOWN,299,DOWN,299,DOWN,299,54.15,8,0.00,151.50,44.42,69345.40,69462.40,UP
1772489400,,,69310.4,152.00,,,,,,,,,,DOWN,25,DOWN,25,DOWN,74,32.95,25,216.10,12.30,61.22,69462.40,69267.00,DOWN
1772489700,,,69253.2,0.10,,,,,,,,,,DOWN,299,DOWN,299,DOWN,299,33.68,24,91.92,19.60,63.16,69253.30,69196.40,DOWN
1772490000,,,69262.4,-66.10,,,,,,,,,,DOWN,299,DOWN,299,DOWN,299,45.75,25,8.59,107.10,41.68,69196.30,69286.10,UP
1772490300,,,69372.0,-87.50,-0.010000000000000009,69286.1,,,-0.09000000000000002,69269.1,-0.010000000000000009,0.46,0.55,DOWN,14,UP,40,UP,44,55.91,12,17.54,100.60,46.76,69284.50,69379.70,UP
1772490600,,,69328.7,51.00,,,-0.29000000000000004,69350.2,,,,,,UP,299,UP,299,UP,299,46.62,12,79.06,57.30,63.80,69379.70,69300.64,DOWN
1772490900,,,69333.7,-33.05,,,,,,,,,,UP,17,UP,23,UP,61,55.19,7,0.01,83.55,41.79,69300.65,69358.90,UP
1772491200,,,69377.8,-12.40,-0.09099502487562189,69375.7,,,,,,,,UP,298,UP,298,UP,298,58.91,23,53.72,40.20,58.07,69365.40,69405.60,UP
1772491500,,,69318.9,86.70,,,,,0.15000000000000002,69424.1,-0.00800995024875617,0.5790049751243781,0.43,UP,299,UP,299,UP,299,45.77,26,95.30,25.90,67.64,69405.60,69350.20,DOWN
1772491800,,,69287.8,62.40,-0.02999999999999997,69323.2,,,,,,,,DOWN,299,DOWN,299,DOWN,299,51.48,31,83.26,8.60,59.89,69350.20,69358.80,UP
1772492100,,,69355.78,-12.68,-0.14999999999999997,69349.8,,,,,,,,DOWN,5,DOWN,8,DOWN,29,60.33,11,55.63,80.30,67.77,69343.10,69423.40,UP
1772492400,,,69288.4,143.70,-0.07099502487562187,69442.5,,,,,,,,UP,299,UP,299,UP,299,49.16,14,163.80,50.80,95.11,69432.10,69333.20,DOWN
1772492700,,,69348.4,-2.00,,,,,-0.13099502487562192,69312.3,-0.00900497512437809,0.4390049751243781,0.57,DOWN,298,DOWN,298,DOWN,298,47.17,8,57.38,15.70,50.47,69346.40,69322.90,DOWN
1772493000,,,69268.82,43.74,,,,,-0.17900497512437807,69302.0,-0.008009950248756226,0.4090049751243781,0.59,DOWN,299,DOWN,299,DOWN,299,38.99,2,88.16,49.54,51.43,69312.56,69224.40,DOWN
1772493300,,,69227.3,-2.90,0.010000000000000009,69224.5,,,0.07,69220.0,-0.00800995024875617,0.5390049751243781,0.4690049751243781,DOWN,299,DOWN,299,DOWN,299,43.48,8,55.60,32.60,57.28,69224.40,69238.30,UP
1772493600,,,69028.1,210.20,,,,,,,,,,UP,299,UP,299,UP,299,32.52,94,233.90,10.60,85.58,69238.30,69079.01,DOWN
1772493900,,,69028.2,40.30,,,-0.07,69059.2,,,,,,DOWN,299,DOWN,299,DOWN,299,31.14,10,70.30,65.00,60.15,69068.50,69022.60,DOWN
1772494200,,,68860.99,161.61,,,0.050000000000000044,68991.6,,,,,,DOWN,299,DOWN,299,DOWN,299,28.38,11,199.22,0.00,93.31,69022.60,68846.80,DOWN
1772494500,,,68864.7,-18.90,0.12000000000000005,68838.9,,,,,,,,DOWN,298,DOWN,298,DOWN,298,31.53,5,56.71,55.06,57.92,68845.80,68854.40,UP
1772494800,,,68848.7,5.70,0.13099502487562192,68833.5,,,,,,,,UP,0,UP,30,UP,99,32.44,11,96.00,2.80,52.60,68854.40,68791.00,DOWN
1772495100,,,68916.44,-125.44,0.16999999999999998,68791.1,0.16999999999999998,68792.3,,,,,,DOWN,298,DOWN,298,DOWN,298,47.75,2,38.00,168.10,58.75,68791.00,68916.30,UP
1772495400,,,68880.0,36.30,-0.07099502487562187,68916.3,-0.0190049751243781,68916.3,,,,,,UP,298,UP,298,UP,298,37.66,3,139.30,0.71,40.52,68916.30,68821.18,DOWN
1772495700,,,68775.91,45.26,,,,,0.1109950248756219,68841.1,-0.009004975124378145,0.56,0.4490049751243781,DOWN,299,DOWN,299,DOWN,299,42.73,3,55.07,24.10,38.33,68821.17,68808.40,DOWN
1772496000,,,68937.6,-104.10,,,,,0.010000000000000009,68803.8,0.010000000000000009,0.49,0.5,UP,3,UP,28,DOWN,112,58.61,29,61.60,128.06,70.00,68833.50,68935.10,UP
1772496300,,,68904.2,30.90,,,,,,,,,,DOWN,8,DOWN,44,DOWN,56,55.73,7,42.54,64.90,64.26,68935.10,68971.70,UP
1772496600,,,68784.4,160.20,-0.07,68944.3,-0.06900497512437814,68938.24,,,,,,DOWN,298,DOWN,298,DOWN,298,41.91,10,186.11,8.12,51.56,68944.60,68790.40,DOWN
1772496900,,,68805.99,6.91,,,,,0.26999999999999996,68837.7,-0.050000000000000044,0.66,0.39,DOWN,299,DOWN,299,DOWN,299,37.76,5,96.73,63.35,79.41,68812.90,68730.80,DOWN
1772497200,,,68721.2,9.60,,,,,,,,,,DOWN,298,DOWN,298,DOWN,298,41.82,9,65.00,34.04,61.20,68730.80,68733.75,UP
1772497500,,,68765.48,-31.72,-0.010000000000000009,68728.4,,,-0.010000000000000009,68733.59,-0.010000000000000009,0.5,0.51,UP,299,UP,299,UP,299,50.64,3,51.36,68.24,47.60,68733.76,68801.99,UP
1772497800,,,68962.35,-160.36,,,-0.12000000000000005,68746.5,,,,,,UP,299,UP,299,UP,299,61.88,10,105.99,170.95,97.11,68801.99,68960.70,UP
1772498100,,,69106.04,-173.54,,,,,-0.18999999999999995,68955.4,-0.00900497512437809,0.4090049751243781,0.6,UP,298,UP,298,UP,298,69.99,8,0.00,183.49,53.05,68932.50,69091.30,UP
