Window_ID,Pre_15s_Gap,BTC_Pre_15s,BTC_Pre_60s,BTC_Velocity_60s,Gap_5s,BTC_5s,Gap_10s,BTC_10s,Gap_15s,BTC_15s,Poly_Spread_15s,UP_Bid_15s,DN_Bid_15s,First_55c_Side,First_55c_Time,First_60c_Side,First_60c_Time,First_65c_Side,First_65c_Time,RSI_1m,V_1m,Drawdown_UP,Drawdown_DN,ATR_5m,BTC_Open,BTC_Close,Winner
1773082800,,,,0.00,,,,,,,,,,UP,265,UP,265,UP,265,54.30,6,-123.35,129.80,40.02,68363.70,68493.50,UP
1773083100,,,68500.0,2.12,,,,,,,,,,UP,295,UP,295,UP,295,54.34,4,66.62,12.80,41.09,68502.12,68514.92,UP
1773083400,,,68432.0,67.90,,,,,,,,,,UP,296,UP,296,UP,296,40.96,8,74.60,508.42,34.24,68499.90,68425.30,DOWN
1773083700,,,68462.0,-44.90,,,,,,,,,,DOWN,294,DOWN,294,DOWN,294,71.61,52,1359.69,177.00,95.27,68417.10,68594.10,UP
1773084000,,,68945.7,-103.20,,,,,,,,,,UP,288,UP,288,UP,288,73.50,121,112.20,157.50,123.69,68842.50,69000.00,UP
1773084300,,,69272.0,-172.00,,,0.27,69100.0,,,,,,UP,296,UP,296,UP,296,74.32,34,122.09,254.80,136.11,69100.00,69293.20,UP
1773084600,,,69341.7,19.30,,,,,0.18999999999999995,69497.0,-0.010000000000000009,0.6,0.41,UP,15,UP,15,DOWN,56,63.08,26,148.90,136.00,142.09,69361.00,69226.90,DOWN
1773084900,,,69016.9,254.90,,,0.13099502487562192,69271.8,,,,,,DOWN,292,DOWN,292,DOWN,292,52.89,17,275.80,0.00,116.58,69271.80,69081.70,DOWN
1773085200,,,68986.6,75.40,,,,,,,,,,DOWN,293,DOWN,293,DOWN,293,48.93,18,235.00,38.01,155.31,69062.00,69017.00,DOWN
1773085500,,,68981.9,-9.90,,,,,,,,,,DOWN,292,DOWN,292,DOWN,292,48.03,11,689.07,59.77,93.87,68972.00,68941.80,DOWN
1773085800,,,68949.4,-27.50,,,,,,,,,,DOWN,297,DOWN,297,DOWN,297,51.31,13,638.97,83.50,76.61,68921.90,69005.40,UP
1773086100,,,68282.92901598,675.47,,,,,,,,,,UP,298,UP,298,UP,298,48.88,37,675.47,112.90,68.58,68958.40,68971.22,UP
1773086400,,,69050.0,-41.70,,,,,,,,,,UP,12,UP,12,UP,46,49.70,7,21.02,145.50,80.60,69008.30,69002.10,DOWN
1773086700,,,69055.57492833,-35.03,0.09000000000000002,69020.54,,,,,,,,UP,298,UP,298,UP,298,46.71,6,63.27,45.76,70.07,69020.54,68983.75,DOWN
1773087000,,,69005.5,-21.75,,,,,,,,,,DOWN,298,DOWN,298,DOWN,298,51.23,6,71.75,78.25,58.76,68983.75,69002.00,UP
1773087300,,,69048.6,-39.90,,,,,,,,,,UP,299,UP,299,UP,299,55.70,9,15.21,72.90,40.26,69008.70,69080.70,UP
1773087600,,,69022.5,58.10,,,,,,,,,,UP,294,UP,294,UP,294,46.67,4,122.00,0.00,47.96,69080.60,68987.00,DOWN
