# Polymarket Sniper V5 — Session Log
# Generated: 2026-03-09 22:25:31
# Snapshot rows logged every ~15s. TRADE_EVENT rows on buy/sell/settle.
#
# SNAPSHOT FIELDS:
#   Timestamp      — Wall-clock time of snapshot
#   SimBal         — Simulated wallet balance (USD)
#   LiveBal        — Live Polymarket wallet balance (USD)
#   RiskBankroll   — Current risk-adjusted bankroll available for bets (USD)
#   TimeRem        — Time remaining in current 5-min window (MM:SS)
#   BTC_Price      — Live BTC/USD price from Kraken WS / Binance fallback
#   BTC_Open       — BTC price at window open (Kraken REST)
#   BTC_Diff       — BTC_Price minus BTC_Open (USD)
#   BTC_Range      — Intra-window high-low price range (USD)
#   Odds_Score     — Polymarket UP-DN bid skew in cents (+ve = UP favoured)
#   Trend_4H       — 4-hour macro trend direction (S-UP/M-UP/W-UP/NEUTRAL/W-DOWN/M-DOWN/S-DOWN)
#   Trend_1H       — 1-hour trend direction (same scale)
#   RSI_1m         — 14-period RSI on 1-minute Binance candles
#   ATR_5m         — 5-period Average True Range on 1-minute candles (USD)
#   Sig_Slingshot  — Slingshot scanner signal this tick (WAIT/OFF/BET_UP/BET_DOWN)
#   Sig_Cobra      — Cobra scanner signal this tick
#   Sig_CoiledCobra— Coiled Cobra (CCO) scanner signal this tick
#   Sig_Flag       — BullFlag scanner signal this tick
#   Master_Score   — Net scanner consensus: (# UP signals) minus (# DOWN signals)
#   Master_Status  — Aggregate direction: BUY_UP / BUY_DN / NEUTRAL
#   Active_Scanners— Count of scanners firing a BET signal this tick
#   UP_Price       — Polymarket UP option midpoint price
#   DN_Price       — Polymarket DOWN option midpoint price
#   UP_Bid         — Polymarket UP option best bid
#   DN_Bid         — Polymarket DOWN option best bid
#   Shares_UP      — Current UP shares held
#   Shares_DN      — Current DOWN shares held
#
# TRADE_EVENT FIELDS (interleaved rows):
#   TRADE_EVENT,Time,Type,Side,Amount,ExecPrice,SigPrice,Slippage,Shares,RSI,Trend,RiskBal,MainBal,Note
Timestamp,SimBal,LiveBal,RiskBankroll,TimeRem,BTC_Price,BTC_Open,BTC_Diff,BTC_Range,Odds_Score,Trend_4H,Trend_1H,RSI_1m,ATR_5m,Sig_Slingshot,Sig_Cobra,Sig_CoiledCobra,Sig_Flag,Master_Score,Master_Status,Active_Scanners,UP_Price,DN_Price,UP_Bid,DN_Bid,Shares_UP,Shares_DN
2026-03-09 22:25:33,100.00,96.76,0.00,00:00,0.00,0.00,0.00,0.00,0,NEUTRAL,NEUTRAL,50.0,0.00,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.500,0.500,0.500,0.500,0.00,0.00
2026-03-09 22:25:48,100.00,96.76,100.00,04:12,68930.72,68987.00,-56.28,56.28,9.0,NEUTRAL,S-UP,47.4,43.99,OFF,OFF,OFF,OFF,0,NEUTRAL,2,0.545,0.455,0.550,0.460,0.00,0.00
2026-03-09 22:26:04,100.00,96.76,100.00,03:56,68967.50,68987.00,-19.50,56.28,-1.0,NEUTRAL,S-UP,46.9,43.99,OFF,OFF,OFF,OFF,0,NEUTRAL,2,0.495,0.505,0.499,0.509,0.00,0.00
2026-03-09 22:26:19,100.00,96.76,100.00,03:41,68987.00,68987.00,0.00,56.28,35.0,NEUTRAL,S-UP,50.5,40.40,OFF,OFF,OFF,OFF,0,NEUTRAL,2,0.675,0.325,0.680,0.330,0.00,0.00
2026-03-09 22:26:35,100.00,96.76,100.00,03:25,69010.00,68987.00,23.00,79.28,47.0,NEUTRAL,S-UP,51.2,41.91,OFF,OFF,OFF,OFF,0,NEUTRAL,2,0.735,0.265,0.740,0.270,0.00,0.00
2026-03-09 22:26:51,100.00,96.76,100.00,03:09,69011.46,68987.00,24.46,80.74,39.0,NEUTRAL,S-UP,51.3,43.62,OFF,OFF,OFF,OFF,0,NEUTRAL,2,0.695,0.305,0.699,0.309,0.00,0.00
2026-03-09 22:27:06,100.00,96.76,100.00,02:54,69019.20,68987.00,32.20,91.98,43.0,NEUTRAL,S-UP,51.3,35.92,OFF,OFF,OFF,OFF,0,NEUTRAL,2,0.715,0.285,0.719,0.289,0.00,0.00
2026-03-09 22:27:22,100.00,96.76,100.00,02:38,69028.60,68987.00,41.60,97.88,53.1,NEUTRAL,S-UP,52.5,40.77,OFF,OFF,OFF,OFF,0,NEUTRAL,2,0.765,0.235,0.770,0.239,0.00,0.00
2026-03-09 22:27:37,100.00,96.76,100.00,02:23,69028.60,68987.00,41.60,97.88,41.1,NEUTRAL,S-UP,51.3,40.77,OFF,OFF,OFF,OFF,0,NEUTRAL,2,0.705,0.295,0.710,0.299,0.00,0.00
2026-03-09 22:27:52,100.00,96.76,100.00,02:08,69016.80,68987.00,29.80,97.88,49.0,NEUTRAL,S-UP,51.3,40.78,OFF,OFF,OFF,OFF,0,NEUTRAL,2,0.745,0.255,0.749,0.259,0.00,0.00
