# Polymarket Vortex Pulse V5 — Session Log
# Generated: 2026-03-19 07:23:11
# Snapshot rows logged every ~15s. TRADE_EVENT rows on buy/sell/settle.
#
# SNAPSHOT FIELDS:
#   Timestamp      — Wall-clock time of snapshot
#   SimBal         — Simulated wallet balance (USD)
#   LiveBal        — Live Polymarket wallet balance (USD)
#   RiskBankroll   — Current risk-adjusted bankroll available for bets (USD)
#   TimeRem        — Time remaining in current 5-min window (MM:SS)
#   BTC_Price      — Live BTC/USD price from Kraken WS / Binance fallback
#   BTC_Open       — BTC price at window open (Kraken REST)
#   BTC_Diff       — BTC_Price minus BTC_Open (USD)
#   BTC_Range      — Intra-window high-low price range (USD)
#   Odds_Score     — Polymarket UP-DN bid skew in cents (+ve = UP favoured)
#   Trend_4H       — 4-hour macro trend direction (S-UP/M-UP/W-UP/NEUTRAL/W-DOWN/M-DOWN/S-DOWN)
#   Trend_1H       — 1-hour trend direction (same scale)
#   RSI_1m         — 14-period RSI on 1-minute Binance candles
#   ATR_5m         — 5-period Average True Range on 1-minute candles (USD)
#   Sig_Slingshot  — Slingshot scanner signal this tick (WAIT/OFF/BET_UP/BET_DOWN)
#   Sig_Cobra      — Cobra scanner signal this tick
#   Sig_CoiledCobra— Coiled Cobra (CCO) scanner signal this tick
#   Sig_Flag       — BullFlag scanner signal this tick
#   Master_Score   — Net scanner consensus: (# UP signals) minus (# DOWN signals)
#   Master_Status  — Aggregate direction: BUY_UP / BUY_DN / NEUTRAL
#   Active_Scanners— Count of scanners firing a BET signal this tick
#   UP_Price       — Polymarket UP option midpoint price
#   DN_Price       — Polymarket DOWN option midpoint price
#   UP_Bid         — Polymarket UP option best bid
#   DN_Bid         — Polymarket DOWN option best bid
#   Shares_UP      — Current UP shares held
#   Shares_DN      — Current DOWN shares held
#
# TRADE_EVENT FIELDS (interleaved rows):
#   TRADE_EVENT,Time,Type,Side,Amount,ExecPrice,SigPrice,Slippage,Shares,RSI,Trend,RiskBal,MainBal,Note
Timestamp,SimBal,LiveBal,RiskBankroll,TimeRem,BTC_Price,BTC_Open,BTC_Diff,BTC_Range,Odds_Score,Trend_4H,Trend_1H,RSI_1m,ATR_5m,Sig_Slingshot,Sig_Cobra,Sig_CoiledCobra,Sig_Flag,Master_Score,Master_Status,Active_Scanners,UP_Price,DN_Price,UP_Bid,DN_Bid,Shares_UP,Shares_DN
2026-03-19 07:23:14,100.00,89.34,100.00,01:46,0.00,0.00,0.00,0.00,0,NEUTRAL,NEUTRAL,50.0,0.00,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.500,0.500,0.500,0.500,0.00,0.00
2026-03-19 07:23:30,100.00,89.34,100.00,01:30,69626.50,69862.20,-235.70,235.70,-99.0,NEUTRAL,S-DOWN,21.5,98.69,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.010,0.995,0.010,1.000,0.00,0.00
2026-03-19 07:23:45,100.00,89.34,100.00,01:15,69564.70,69862.20,-297.50,297.50,-99.0,NEUTRAL,S-DOWN,17.2,109.52,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.010,0.995,0.010,1.000,0.00,0.00
2026-03-19 07:24:01,100.00,89.34,100.00,00:59,69506.60,69862.20,-355.60,356.40,-99.0,NEUTRAL,S-DOWN,16.3,118.02,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.010,0.995,0.010,1.000,0.00,0.00
2026-03-19 07:24:17,100.00,89.34,100.00,00:43,69533.70,69862.20,-328.50,356.40,-99.1,NEUTRAL,S-DOWN,17.8,100.09,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.009,0.996,0.009,1.000,0.00,0.00
2026-03-19 07:24:32,100.00,89.34,100.00,00:28,69573.70,69862.20,-288.50,356.40,-99.9,NEUTRAL,S-DOWN,24.1,115.48,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.001,1.000,0.001,1.000,0.00,0.00
2026-03-19 07:24:48,100.00,89.34,100.00,00:12,69700.00,69862.20,-162.20,356.40,-99.4,NEUTRAL,S-DOWN,31.3,139.41,OFF,OFF,OFF,OFF,-1,BUY_DN,1,0.006,0.997,0.006,1.000,0.00,0.00
TRADE_EVENT,2026-03-19 07:25:01,SETTLE,DOWN,0.00,1.00000,1.00000,0.00000,0.00,0.00,N/A,0.00,100.00,Win: DOWN | PnL: 0.00
2026-03-19 07:25:04,100.00,89.34,100.00,04:56,69685.80,69685.80,0.00,0.00,14.0,NEUTRAL,S-DOWN,29.8,113.98,OFF,OFF,OFF,OFF,1,BUY_UP,1,0.575,0.430,0.580,0.440,0.00,0.00
2026-03-19 07:25:19,100.00,89.34,100.00,04:41,69656.20,69685.80,-29.60,30.40,14.0,NEUTRAL,S-DOWN,29.5,120.02,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.565,0.435,0.580,0.440,0.00,0.00
