Window_ID,Pre_15s_Gap,BTC_Pre_15s,BTC_Pre_60s,BTC_Velocity_60s,Gap_5s,BTC_5s,Gap_10s,BTC_10s,Gap_15s,BTC_15s,Poly_Spread_15s,UP_Bid_15s,DN_Bid_15s,First_55c_Side,First_55c_Time,First_60c_Side,First_60c_Time,First_65c_Side,First_65c_Time,RSI_1m,V_1m,Drawdown_UP,Drawdown_DN,ATR_5m,BTC_Open,BTC_Close,Winner
1773936000,,,69514.28,-98.18,,,,,,,,,,UP,192,UP,192,UP,192,52.11,15,67.28,113.10,79.55,69416.10,69349.00,DOWN
1773936300,,,69300.0,49.10,,,0.010000000000000009,69349.1,,,,,,DOWN,19,DOWN,28,DOWN,31,44.71,17,109.00,2.57,62.55,69349.10,69269.40,DOWN
1773936600,,,69270.5,-1.10,0.10000000000000003,69272.9,,,,,,,,UP,2,UP,50,DOWN,131,52.04,19,55.30,89.00,67.66,69269.40,69338.89,UP
1773936900,,,69287.2,61.90,0.020000000000000018,69349.1,,,,,,,,UP,20,UP,20,DOWN,89,50.57,20,162.70,34.29,107.91,69349.10,69321.20,DOWN
1773937200,,,69420.1,-105.66,-0.010000000000000009,69327.7,,,,,,,,UP,8,UP,41,UP,44,60.90,12,0.00,169.96,84.64,69314.44,69484.40,UP
1773937500,,,69530.4,-46.00,-0.010000000000000009,69479.65,,,,,,,,UP,14,UP,17,UP,32,58.96,11,4.75,91.60,71.65,69484.40,69532.40,UP
1773937800,,,69348.3,158.70,,,,,-0.24,69478.7,-0.040000000000000036,0.4,0.66,DOWN,6,DOWN,9,DOWN,15,46.30,15,182.71,9.00,72.76,69507.00,69371.55,DOWN
1773938100,,,69394.0,-36.28,,,,,-0.27,69327.7,-0.010000000000000009,0.37,0.64,DOWN,3,DOWN,9,DOWN,21,55.79,9,100.63,64.08,85.38,69357.72,69412.50,UP
1773938400,,,69528.67,-92.27,,,,,0.18999999999999995,69475.2,-0.010000000000000009,0.6,0.4,UP,3,UP,15,UP,27,56.45,8,0.00,205.70,67.94,69436.40,69519.50,UP
1773938700,,,69400.1,119.40,,,0.07,69521.6,,,,,,UP,4,DOWN,22,DOWN,31,50.64,6,119.40,5.20,79.58,69519.50,69452.80,DOWN
1773939000,,,69369.01,83.89,,,0.030000000000000027,69457.6,,,,,,UP,13,DOWN,37,DOWN,37,51.14,8,152.10,14.54,74.69,69452.90,69392.90,DOWN
1773939300,,,69460.81,-67.91,,,0.18999999999999995,69432.9,,,,,,UP,1,UP,7,UP,28,52.88,2,0.00,85.70,42.84,69392.90,69454.00,UP
1773939600,,,69370.0,84.00,,,0.11000000000000004,69454.0,,,,,,UP,1,UP,35,DOWN,122,42.69,4,142.30,22.17,68.45,69454.00,69332.80,DOWN
1773939900,,,69212.8,119.90,0.07,69329.55,,,,,,,,DOWN,23,DOWN,41,DOWN,59,30.91,37,201.70,0.00,79.11,69332.70,69131.00,DOWN
1773940200,,,69175.3,-44.30,0.010000000000000009,69131.0,,,,,,,,DOWN,20,UP,44,UP,89,43.97,8,4.64,182.00,91.25,69131.00,69234.15,UP
1773940500,,,69380.3,-173.60,0.07,69233.16,,,,,,,,UP,14,DOWN,29,DOWN,35,59.24,11,15.61,208.40,79.61,69206.70,69415.10,UP
1773940800,,,69669.9,-240.20,-0.10000000000000003,69421.7,,,,,,,,DOWN,8,DOWN,23,DOWN,26,65.06,20,53.45,240.20,104.73,69429.70,69599.60,UP
1773941100,,,69691.7,-87.30,-0.07,69604.4,,,,,,,,DOWN,11,UP,118,UP,124,65.02,6,8.20,131.98,56.55,69604.40,69661.41,UP
1773941400,,,69594.03,57.67,,,0.13000000000000006,69699.5,,,,,,UP,7,UP,13,UP,22,57.41,4,77.10,116.15,72.10,69651.70,69616.60,DOWN
1773941700,,,69556.5,60.00,,,-0.31,69574.6,,,,,,DOWN,4,DOWN,7,DOWN,7,50.59,12,116.50,0.00,51.34,69616.50,69541.04,DOWN
1773942000,,,69549.9,-24.80,,,0.3,69546.4,,,,,,UP,4,UP,7,UP,10,53.03,2,0.83,90.53,59.93,69525.10,69586.46,UP
1773942300,,,69672.0,-91.50,,,-0.050000000000000044,69576.0,,,,,,DOWN,13,DOWN,13,DOWN,19,60.93,11,25.56,96.30,60.21,69580.50,69676.70,UP
1773942600,,,69833.0,-147.40,,,0.050000000000000044,69684.6,,,,,,UP,13,UP,16,UP,22,65.46,24,1.00,243.90,96.14,69685.60,69865.20,UP
1773942900,,,69853.7,11.30,,,-0.16999999999999998,69844.9,,,,,,DOWN,4,DOWN,7,DOWN,100,64.16,11,34.30,19.53,37.67,69865.00,69847.80,DOWN
1773943200,,,69747.5,100.30,,,0.030000000000000027,69872.8,,,,,,DOWN,22,DOWN,76,DOWN,82,52.31,7,117.04,25.00,48.28,69847.80,69755.93,DOWN
1773943500,,,69772.6,-12.40,-0.030000000000000027,69758.33,,,,,,,,UP,26,UP,29,UP,77,53.82,5,13.82,68.16,42.16,69760.20,69784.70,UP
1773943800,,,69910.0,-131.42,,,,,0.28,69824.93,-0.020000000000000018,0.65,0.36,UP,6,UP,9,UP,12,55.98,9,0.00,134.82,68.71,69778.58,69844.00,UP
1773944100,,,69778.5,65.50,,,,,0.07,69837.7,-0.010000000000000009,0.54,0.47,UP,18,UP,18,UP,21,49.16,9,75.29,66.68,61.83,69844.00,69778.40,DOWN
1773944400,,,69764.5,13.90,,,,,0.26,69813.5,0.020000000000000018,0.61,0.41,UP,6,UP,6,UP,6,46.61,3,34.40,54.84,37.59,69778.40,69767.90,DOWN
1773944700,,,69700.0,64.80,,,,,-0.20999999999999996,69752.2,-0.010000000000000009,0.4,0.61,DOWN,6,DOWN,6,DOWN,21,34.35,4,124.70,0.50,42.04,69764.80,69654.20,DOWN
1773945000,,,69640.0,15.21,,,,,0.26,69673.3,-0.020000000000000018,0.64,0.38,UP,3,UP,15,UP,30,39.97,9,38.37,41.00,58.58,69655.21,69649.97,DOWN
1773945300,,,69726.45,-86.45,,,,,0.16999999999999998,69651.1,-0.010000000000000009,0.59,0.42,UP,9,UP,96,UP,183,46.72,11,0.00,111.90,38.68,69640.00,69679.70,UP
1773945600,,,69659.9,20.00,,,,,0.010000000000000009,69684.0,-0.010000000000000009,0.51,0.5,DOWN,3,DOWN,54,DOWN,108,51.85,5,20.60,35.72,37.77,69679.90,69694.20,UP
1773945900,,,69666.8,27.40,,,,,0.0,69726.1,0.0,0.48,0.55,DOWN,9,DOWN,39,DOWN,45,40.50,15,80.90,32.00,39.99,69694.20,69616.40,DOWN
1773946200,,,69702.11,-85.71,,,,,-0.050000000000000044,69618.5,0.0,0.47,0.53,DOWN,6,DOWN,57,DOWN,57,53.37,6,31.41,121.63,44.57,69616.40,69709.10,UP
1773946500,,,69837.5,-128.40,,,,,-0.25,69702.6,-0.010000000000000009,0.38,0.63,DOWN,3,DOWN,6,UP,69,63.41,15,11.13,144.40,53.56,69709.10,69818.60,UP
1773946800,,,69969.1,-152.80,,,,,0.050000000000000044,69816.2,-0.010000000000000009,0.53,0.47,UP,9,UP,51,UP,54,71.62,18,0.10,193.40,81.39,69816.30,69994.20,UP
1773947100,,,70109.6,-115.40,,,,,0.050000000000000044,69994.2,0.0,0.52,0.51,UP,9,UP,9,UP,42,64.03,16,0.00,218.10,122.99,69994.20,70084.30,UP
1773947400,,,70240.75,-156.45,,,,,-0.020000000000000018,70124.1,-0.020000000000000018,0.5,0.51,DOWN,0,UP,24,UP,27,66.84,22,20.00,448.40,174.47,70084.30,70380.70,UP
1773947700,,,70500.0,-127.70,,,,,-0.14000000000000007,70348.4,-0.030000000000000027,0.45,0.56,DOWN,0,DOWN,21,DOWN,36,70.82,44,105.55,185.50,109.85,70372.30,70557.80,UP
1773948000,,,70540.2,10.00,,,,,-0.37000000000000005,70501.0,-0.030000000000000027,0.34,0.68,DOWN,3,DOWN,6,DOWN,9,67.46,32,89.20,43.80,96.46,70550.20,70550.30,UP
1773948300,,,70250.4,283.00,,,,,-0.20999999999999996,70508.3,-0.010000000000000009,0.4,0.61,DOWN,0,DOWN,12,DOWN,21,50.18,20,293.60,0.10,81.75,70533.40,70283.10,DOWN
1773948600,,,70371.6,-84.00,,,,,-0.29000000000000004,70226.6,-0.010000000000000009,0.36,0.66,DOWN,0,DOWN,3,DOWN,12,50.11,13,96.00,151.50,93.58,70287.60,70289.74,UP
1773948900,,,70354.5,-45.60,,,,,-0.030000000000000027,70291.6,-0.010000000000000009,0.49,0.53,DOWN,18,DOWN,21,DOWN,33,56.81,6,135.60,78.80,86.21,70308.90,70387.70,UP
1773949200,,,70465.96,-78.36,,,,,-0.26,70371.7,-0.020000000000000018,0.38,0.63,DOWN,3,DOWN,9,DOWN,18,59.12,10,35.90,106.73,51.84,70387.60,70459.40,UP
1773949500,,,70410.2,49.20,,,,,-0.31,70415.7,-0.019999999999999962,0.36,0.65,DOWN,3,DOWN,6,DOWN,12,51.89,18,88.25,0.00,43.28,70459.40,70375.90,DOWN
1773949800,,,70282.47,90.96,,,,,-0.41,70331.7,-0.010000000000000009,0.3,0.71,DOWN,3,DOWN,6,DOWN,9,46.01,6,189.13,0.00,83.32,70373.43,70273.60,DOWN
1773950100,,,70279.44,-5.84,,,,,-0.18999999999999995,70275.9,-0.009999999999999953,0.41,0.6,DOWN,15,DOWN,15,DOWN,30,46.74,3,65.09,46.20,66.86,70273.60,70265.40,DOWN
1773950400,,,70293.6,-28.10,,,,,-0.38999999999999996,70219.9,-0.010000000000000009,0.31,0.7,DOWN,3,DOWN,6,DOWN,6,47.52,6,70.30,28.10,41.73,70265.50,70281.50,UP
1773950700,,,70317.5,-36.00,,,,,-0.09000000000000002,70260.27,-0.019999999999999962,0.47,0.54,DOWN,27,DOWN,66,DOWN,84,52.19,4,61.40,40.80,38.80,70281.50,70311.40,UP
1773951000,,,70241.9,61.51,,,,,-0.14999999999999997,70300.1,-0.010000000000000009,0.43,0.58,DOWN,15,DOWN,24,DOWN,27,51.32,3,98.11,7.99,40.18,70303.41,70290.60,DOWN
1773951300,,,70355.1,-69.10,,,,,0.6000000000000001,70363.0,-0.020000000000000018,0.8,0.22,DOWN,0,UP,6,UP,9,64.03,108,0.00,167.30,86.76,70286.00,70453.30,UP
1773951600,,,70411.5,36.51,,,-0.07,70448.01,,,,,,DOWN,1,DOWN,46,DOWN,109,52.83,4,88.91,17.79,43.26,70448.01,70364.30,DOWN
1773951900,,,70379.9,-15.60,,,0.030000000000000027,70371.2,,,,,,UP,64,UP,64,UP,124,48.43,7,44.10,62.40,31.92,70364.30,70335.42,DOWN
1773952200,,,70408.6,-82.60,,,-0.14999999999999997,70324.01,,,,,,DOWN,7,DOWN,13,UP,76,53.81,3,1.99,93.09,26.39,70326.00,70409.80,UP
1773952500,,,70535.0,-126.50,,,-0.07,70400.1,,,,,,DOWN,13,UP,31,UP,31,73.05,9,23.63,150.16,42.79,70408.50,70553.00,UP
1773952800,,,70527.92,72.08,0.15000000000000002,70612.4,,,,,,,,UP,5,UP,8,UP,11,58.25,4,95.80,69.50,47.59,70600.00,70513.75,DOWN
1773953100,,,70450.0,63.76,-0.050000000000000044,70530.5,,,,,,,,DOWN,14,DOWN,29,DOWN,177,52.39,6,66.16,26.04,37.61,70513.76,70453.40,DOWN
1773953400,,,70490.9,-37.50,,,,,0.010000000000000009,70453.4,-0.010000000000000009,0.51,0.5,DOWN,42,DOWN,75,DOWN,99,53.82,7,14.97,37.50,22.36,70453.40,70487.83,UP
1773953700,,,70482.9,3.70,,,-0.19999999999999996,70486.7,,,,,,DOWN,4,DOWN,7,DOWN,124,52.34,5,32.60,33.30,31.46,70486.60,70498.70,DOWN
1773954000,,,70580.9,-120.24,,,-0.12000000000000005,70467.6,,,,,,DOWN,4,DOWN,7,UP,82,60.51,6,0.00,130.06,39.78,70460.66,70551.69,UP
1773954300,,,70631.13,-79.93,,,-0.030000000000000027,70549.91,,,,,,UP,28,DOWN,35,UP,119,70.10,7,15.02,112.80,32.00,70551.20,70659.90,UP
1773954600,,,70673.1,-13.20,-0.050000000000000044,70659.9,,,,,,,,DOWN,2,UP,77,UP,107,69.89,12,0.10,34.10,22.63,70659.90,70687.10,UP
1773954900,,,70641.1,45.90,-0.11000000000000004,70686.9,,,,,,,,DOWN,2,DOWN,11,DOWN,11,52.03,6,69.50,0.00,25.44,70687.00,70626.10,DOWN
1773955200,,,70532.4,91.60,-0.08000000000000002,70624.0,,,,,,,,DOWN,2,DOWN,14,DOWN,17,50.82,16,94.33,0.00,44.65,70624.00,70586.10,DOWN
1773955500,,,70554.5,31.50,-0.010000000000000009,70586.1,,,,,,,,UP,29,UP,29,DOWN,102,44.84,6,46.02,32.60,22.23,70586.00,70550.48,DOWN
1773955800,,,70462.6,87.87,,,,,0.35000000000000003,70592.9,-0.010000000000000009,0.68,0.33,UP,6,UP,6,UP,9,37.94,18,109.27,43.43,45.05,70550.47,70493.00,DOWN
1773956100,,,70507.6,-14.60,,,,,0.07,70492.9,-0.010000000000000009,0.54,0.47,UP,18,UP,27,UP,30,39.84,7,14.71,51.90,33.57,70493.00,70492.90,DOWN
