Window_ID,Pre_15s_Gap,BTC_Pre_15s,BTC_Pre_60s,BTC_Velocity_60s,Gap_5s,BTC_5s,Gap_10s,BTC_10s,Gap_15s,BTC_15s,Poly_Spread_15s,UP_Bid_15s,DN_Bid_15s,First_55c_Side,First_55c_Time,First_60c_Side,First_60c_Time,First_65c_Side,First_65c_Time,RSI_1m,V_1m,Drawdown_UP,Drawdown_DN,ATR_5m,BTC_Open,BTC_Close,Winner
1773233100,,,,0.00,,,,,,,,,,UP,469,UP,469,UP,469,50.86,12,-41.59,56.80,49.21,69245.80,69302.60,UP
1773233400,,,69290.8,0.00,,,,,,,,,,UP,528,UP,528,DOWN,235,56.92,6,16.83,41.20,55.48,69290.80,69332.00,UP
1773233700,,,69362.1,-15.10,,,,,,,,,,UP,299,UP,299,UP,299,57.07,11,13.40,45.00,38.50,69347.00,69362.10,UP
1773234000,,,69374.0,-11.90,,,,,,,,,,UP,299,UP,299,UP,299,55.49,108,11.70,24.00,32.22,69362.10,69357.24,DOWN
1773234300,,,69413.73,-46.73,,,,,,,,,,UP,298,UP,298,UP,298,63.90,7,0.00,113.10,53.35,69367.00,69441.93,UP
1773234600,,,69727.7,-270.79,,,,,,,,,,UP,295,UP,295,UP,295,86.04,108,18.79,528.79,111.69,69456.91,69906.80,UP
1773234900,,,69931.5,-31.50,-0.050000000000000044,69900.0,,,,,,,,UP,295,UP,295,UP,295,85.40,35,83.15,172.90,108.23,69900.00,70072.80,UP
1773235200,,,70303.5,-229.73,,,,,,,,,,UP,299,UP,299,UP,299,50.00,0,0.00,289.63,118.82,70073.77,70262.50,UP
1773245700,,,,0.00,,,,,,,,,,,,,,,,53.95,48,0.00,0.00,118.82,70073.77,70262.50,UP
1773246000,,,70431.5,-56.92,,,,,,,,,,DOWN,293,DOWN,293,DOWN,293,53.16,49,77.70,236.92,115.87,70374.58,70414.90,UP
1773246300,,,70463.5,-63.51,,,,,,,,,,UP,299,UP,299,UP,299,56.42,12,12.20,104.71,55.59,70399.99,70452.97,UP
1773246600,,,70594.4,-126.93,,,,,,,,,,UP,298,UP,298,UP,298,67.30,28,7.37,244.73,114.57,70467.47,70705.70,UP
1773246900,,,,0.00,,,,,,,,,,UP,299,UP,299,UP,299,50.00,0,82.93,0.00,84.09,70746.00,70679.60,DOWN
1773266400,,,70726.1,40.61,,,,,,,,,,UP,99,UP,99,UP,112,56.19,4,110.39,14.99,57.59,70766.71,70749.40,DOWN
1773266700,,,70720.0,29.30,-0.16900497512437807,70720.01,,,,,,,,DOWN,5,DOWN,11,DOWN,78,46.14,6,38.33,0.00,23.31,70749.30,70730.80,DOWN
1773267000,,,70906.0,-201.10,,,,,,,,,,DOWN,65,DOWN,73,DOWN,81,59.93,5,42.17,230.50,78.95,70704.90,70800.90,UP
1773267300,,,70770.8,52.80,,,,,,,,,,UP,295,UP,295,UP,295,53.49,23,97.44,0.00,37.00,70823.60,70758.25,DOWN
1773267600,,,70634.6,119.80,,,,,,,,,,DOWN,298,DOWN,298,DOWN,298,33.45,3,174.53,13.80,59.86,70754.40,70579.87,DOWN
1773267900,,,70554.5,40.00,0.10999999999999999,70594.5,,,,,,,,DOWN,299,DOWN,299,DOWN,299,30.21,22,63.90,33.80,57.15,70594.50,70530.60,DOWN
