# Polymarket Vortex Pulse V5 — Session Log
# Generated: 2026-03-11 14:49:18
# Snapshot rows logged every ~15s. TRADE_EVENT rows on buy/sell/settle.
#
# SNAPSHOT FIELDS:
#   Timestamp      — Wall-clock time of snapshot
#   SimBal         — Simulated wallet balance (USD)
#   LiveBal        — Live Polymarket wallet balance (USD)
#   RiskBankroll   — Current risk-adjusted bankroll available for bets (USD)
#   TimeRem        — Time remaining in current 5-min window (MM:SS)
#   BTC_Price      — Live BTC/USD price from Kraken WS / Binance fallback
#   BTC_Open       — BTC price at window open (Kraken REST)
#   BTC_Diff       — BTC_Price minus BTC_Open (USD)
#   BTC_Range      — Intra-window high-low price range (USD)
#   Odds_Score     — Polymarket UP-DN bid skew in cents (+ve = UP favoured)
#   Trend_4H       — 4-hour macro trend direction (S-UP/M-UP/W-UP/NEUTRAL/W-DOWN/M-DOWN/S-DOWN)
#   Trend_1H       — 1-hour trend direction (same scale)
#   RSI_1m         — 14-period RSI on 1-minute Binance candles
#   ATR_5m         — 5-period Average True Range on 1-minute candles (USD)
#   Sig_Slingshot  — Slingshot scanner signal this tick (WAIT/OFF/BET_UP/BET_DOWN)
#   Sig_Cobra      — Cobra scanner signal this tick
#   Sig_CoiledCobra— Coiled Cobra (CCO) scanner signal this tick
#   Sig_Flag       — BullFlag scanner signal this tick
#   Master_Score   — Net scanner consensus: (# UP signals) minus (# DOWN signals)
#   Master_Status  — Aggregate direction: BUY_UP / BUY_DN / NEUTRAL
#   Active_Scanners— Count of scanners firing a BET signal this tick
#   UP_Price       — Polymarket UP option midpoint price
#   DN_Price       — Polymarket DOWN option midpoint price
#   UP_Bid         — Polymarket UP option best bid
#   DN_Bid         — Polymarket DOWN option best bid
#   Shares_UP      — Current UP shares held
#   Shares_DN      — Current DOWN shares held
#
# TRADE_EVENT FIELDS (interleaved rows):
#   TRADE_EVENT,Time,Type,Side,Amount,ExecPrice,SigPrice,Slippage,Shares,RSI,Trend,RiskBal,MainBal,Note
Timestamp,SimBal,LiveBal,RiskBankroll,TimeRem,BTC_Price,BTC_Open,BTC_Diff,BTC_Range,Odds_Score,Trend_4H,Trend_1H,RSI_1m,ATR_5m,Sig_Slingshot,Sig_Cobra,Sig_CoiledCobra,Sig_Flag,Master_Score,Master_Status,Active_Scanners,UP_Price,DN_Price,UP_Bid,DN_Bid,Shares_UP,Shares_DN
2026-03-11 14:49:21,100.00,90.28,100.00,10:39,0.00,0.00,0.00,0.00,0,NEUTRAL,NEUTRAL,50.0,0.00,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.500,0.500,0.500,0.500,0.00,0.00
2026-03-11 14:49:37,100.00,90.28,100.00,10:23,69292.72,69245.80,46.92,46.92,23.1,NEUTRAL,S-DOWN,51.9,57.94,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.615,0.385,0.620,0.389,0.00,0.00
2026-03-11 14:49:53,100.00,90.28,100.00,10:07,69292.86,69245.80,47.06,47.06,28.9,NEUTRAL,S-DOWN,51.3,57.94,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.645,0.355,0.649,0.360,0.00,0.00
2026-03-11 14:50:09,100.00,90.28,100.00,09:51,69300.00,69245.80,54.20,67.06,34.9,NEUTRAL,S-DOWN,52.9,52.19,OFF,OFF,OFF,OFF,1,BUY_UP,1,0.675,0.325,0.679,0.330,0.00,0.00
2026-03-11 14:50:24,100.00,90.28,100.00,09:36,69389.80,69245.80,144.00,144.00,12.9,NEUTRAL,S-DOWN,51.1,53.08,OFF,OFF,OFF,OFF,1,BUY_UP,1,0.565,0.435,0.569,0.440,0.00,0.00
2026-03-11 14:50:39,100.00,90.28,100.00,09:21,69290.00,69245.80,44.20,144.00,-3.0,NEUTRAL,S-DOWN,48.3,59.45,OFF,OFF,OFF,OFF,0,NEUTRAL,2,0.485,0.515,0.489,0.519,0.00,0.00
2026-03-11 14:50:55,100.00,90.28,100.00,09:05,69290.00,69245.80,44.20,144.00,13.0,NEUTRAL,S-DOWN,49.3,63.13,OFF,OFF,OFF,OFF,0,NEUTRAL,2,0.565,0.435,0.569,0.439,0.00,0.00
2026-03-11 14:51:10,100.00,90.28,100.00,08:50,69285.14,69245.80,39.34,144.00,27.1,NEUTRAL,S-DOWN,50.9,58.21,OFF,OFF,OFF,OFF,0,NEUTRAL,2,0.635,0.365,0.640,0.369,0.00,0.00
2026-03-11 14:51:26,100.00,90.28,100.00,08:34,69300.00,69245.80,54.20,144.00,39.0,NEUTRAL,S-DOWN,53.2,64.15,OFF,OFF,OFF,OFF,0,NEUTRAL,2,0.695,0.305,0.699,0.309,0.00,0.00
2026-03-11 14:51:41,100.00,90.28,100.00,08:19,69289.86,69245.80,44.06,144.00,29.1,NEUTRAL,S-DOWN,51.2,64.25,OFF,OFF,OFF,OFF,-1,BUY_DN,3,0.645,0.355,0.650,0.359,0.00,0.00
2026-03-11 14:51:57,100.00,90.28,100.00,08:03,69294.30,69245.80,48.50,144.00,19.0,NEUTRAL,S-DOWN,49.9,66.39,OFF,OFF,OFF,OFF,-1,BUY_DN,3,0.595,0.405,0.599,0.409,0.00,0.00
