# Polymarket Sniper V5 — Session Log
# Generated: 2026-03-06 14:32:31
# Snapshot rows logged every ~15s. TRADE_EVENT rows on buy/sell/settle.
#
# SNAPSHOT FIELDS:
#   Timestamp      — Wall-clock time of snapshot
#   SimBal         — Simulated wallet balance (USD)
#   LiveBal        — Live Polymarket wallet balance (USD)
#   RiskBankroll   — Current risk-adjusted bankroll available for bets (USD)
#   TimeRem        — Time remaining in current 5-min window (MM:SS)
#   BTC_Price      — Live BTC/USD price from Kraken WS / Binance fallback
#   BTC_Open       — BTC price at window open (Kraken REST)
#   BTC_Diff       — BTC_Price minus BTC_Open (USD)
#   BTC_Range      — Intra-window high-low price range (USD)
#   Odds_Score     — Polymarket UP-DN bid skew in cents (+ve = UP favoured)
#   Trend_4H       — 4-hour macro trend direction (S-UP/M-UP/W-UP/NEUTRAL/W-DOWN/M-DOWN/S-DOWN)
#   Trend_1H       — 1-hour trend direction (same scale)
#   RSI_1m         — 14-period RSI on 1-minute Binance candles
#   ATR_5m         — 5-period Average True Range on 1-minute candles (USD)
#   Sig_Slingshot  — Slingshot scanner signal this tick (WAIT/OFF/BET_UP/BET_DOWN)
#   Sig_Cobra      — Cobra scanner signal this tick
#   Sig_CoiledCobra— Coiled Cobra (CCO) scanner signal this tick
#   Sig_Flag       — BullFlag scanner signal this tick
#   Master_Score   — Net scanner consensus: (# UP signals) minus (# DOWN signals)
#   Master_Status  — Aggregate direction: BUY_UP / BUY_DN / NEUTRAL
#   Active_Scanners— Count of scanners firing a BET signal this tick
#   UP_Price       — Polymarket UP option midpoint price
#   DN_Price       — Polymarket DOWN option midpoint price
#   UP_Bid         — Polymarket UP option best bid
#   DN_Bid         — Polymarket DOWN option best bid
#   Shares_UP      — Current UP shares held
#   Shares_DN      — Current DOWN shares held
#
# TRADE_EVENT FIELDS (interleaved rows):
#   TRADE_EVENT,Time,Type,Side,Amount,ExecPrice,SigPrice,Slippage,Shares,RSI,Trend,RiskBal,MainBal,Note
Timestamp,SimBal,LiveBal,RiskBankroll,TimeRem,BTC_Price,BTC_Open,BTC_Diff,BTC_Range,Odds_Score,Trend_4H,Trend_1H,RSI_1m,ATR_5m,Sig_Slingshot,Sig_Cobra,Sig_CoiledCobra,Sig_Flag,Master_Score,Master_Status,Active_Scanners,UP_Price,DN_Price,UP_Bid,DN_Bid,Shares_UP,Shares_DN
2026-03-06 14:32:35,100.00,97.12,100.00,00:00,0.00,0.00,0.00,0.00,0,NEUTRAL,NEUTRAL,50.0,0.00,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.500,0.500,0.500,0.500,0.00,0.00
2026-03-06 14:32:50,100.00,97.12,100.00,02:10,69967.69,70028.00,-60.31,60.31,-25.0,NEUTRAL,S-DOWN,42.7,55.88,OFF,OFF,OFF,OFF,-1,BUY_DN,1,0.370,0.630,0.380,0.630,0.00,0.00
2026-03-06 14:33:05,100.00,97.12,100.00,01:55,69974.40,70028.00,-53.60,60.31,-60.9,NEUTRAL,S-DOWN,39.2,56.42,OFF,OFF,OFF,OFF,-1,BUY_DN,1,0.195,0.805,0.200,0.809,0.00,0.00
2026-03-06 14:33:21,100.00,97.12,100.00,01:39,69957.60,70028.00,-70.40,70.40,-67.0,NEUTRAL,S-DOWN,38.7,57.31,OFF,OFF,OFF,OFF,-1,BUY_DN,1,0.165,0.835,0.169,0.839,0.00,0.00
2026-03-06 14:33:37,100.00,97.12,100.00,01:23,69950.10,70028.00,-77.90,77.90,-69.1,NEUTRAL,S-DOWN,38.8,57.31,OFF,OFF,OFF,OFF,-1,BUY_DN,1,0.155,0.845,0.149,0.840,0.00,0.00
2026-03-06 14:33:52,100.00,97.12,100.00,01:08,69950.00,70028.00,-78.00,78.00,-89.0,NEUTRAL,S-DOWN,37.4,58.95,OFF,OFF,OFF,OFF,-1,BUY_DN,1,0.055,0.945,0.060,0.950,0.00,0.00
2026-03-06 14:34:08,100.00,97.12,100.00,00:52,69912.20,70028.00,-115.80,115.80,-99.0,NEUTRAL,S-DOWN,34.6,68.30,OFF,OFF,OFF,OFF,-1,BUY_DN,1,0.010,0.995,0.010,1.000,0.00,0.00
2026-03-06 14:34:24,100.00,97.12,100.00,00:36,69880.60,70028.00,-147.40,150.50,-99.0,NEUTRAL,S-DOWN,36.2,69.80,OFF,OFF,OFF,OFF,-1,BUY_DN,1,0.010,0.995,0.010,1.000,0.00,0.00
2026-03-06 14:34:39,100.00,97.12,100.00,00:21,69902.00,70028.00,-126.00,150.50,-99.0,NEUTRAL,S-DOWN,37.5,69.80,OFF,OFF,OFF,OFF,-1,BUY_DN,1,0.010,0.995,0.010,1.000,0.00,0.00
2026-03-06 14:34:55,100.00,97.12,100.00,00:05,69901.70,70028.00,-126.30,151.05,-99.1,NEUTRAL,S-DOWN,33.8,72.08,OFF,OFF,OFF,OFF,-1,BUY_DN,1,0.009,0.995,0.009,1.000,0.00,0.00
