Window_ID,Pre_15s_Gap,BTC_Pre_15s,BTC_Pre_60s,BTC_Velocity_60s,Gap_5s,BTC_5s,Gap_10s,BTC_10s,Gap_15s,BTC_15s,Poly_Spread_15s,UP_Bid_15s,DN_Bid_15s,First_55c_Side,First_55c_Time,First_60c_Side,First_60c_Time,First_65c_Side,First_65c_Time,RSI_1m,V_1m,Drawdown_UP,Drawdown_DN,ATR_5m,BTC_Open,BTC_Close,Winner
1772515200,,,,0.00,,,,,,,,,,DOWN,252,DOWN,252,DOWN,252,58.26,9,154.08,-111.45,63.91,68509.70,68398.25,DOWN
1772515500,,,,0.00,,,0.18999999999999995,68425.1,,,,,,DOWN,297,DOWN,297,DOWN,297,42.94,9,6.85,33.87,55.66,68405.10,68411.90,UP
1772515800,,,68308.2,-18.25,,,,,,,,,,DOWN,113,DOWN,113,DOWN,113,37.57,136,118.15,119.33,97.44,68289.95,68205.40,DOWN
1772516100,,,,0.00,,,,,,,,,,DOWN,293,DOWN,293,DOWN,293,35.14,4,75.52,5.99,68.63,68236.30,68178.04,DOWN
1772516400,,,68075.0,68.69,,,,,,,,,,DOWN,148,DOWN,148,DOWN,148,50.00,0,80.79,34.35,47.19,68143.69,68062.90,DOWN
1772568000,,,68452.894,0.00,,,,,,,,,,UP,227,UP,227,UP,227,45.70,3,0.00,30.71,79.71,68452.89,68461.00,UP
1772568300,,,68401.9,53.12,,,,,,,,,,UP,298,UP,298,UP,298,39.62,7,150.62,28.78,102.69,68455.02,68351.30,DOWN
1772568600,,,68279.4,369.94,,,,,,,,,,DOWN,296,DOWN,296,DOWN,296,31.01,19,405.24,0.00,48.13,68649.34,68257.10,DOWN
1772568900,,,68298.89,-93.19,,,,,,,,,,DOWN,293,DOWN,293,DOWN,293,40.88,4,0.00,113.70,91.10,68205.70,68249.90,UP
1772569200,,,68322.6,-67.30,0.19099502487562192,68255.3,0.14999999999999997,68275.3,,,,,,UP,299,UP,299,DOWN,299,47.89,3,13.20,100.46,60.35,68255.30,68311.00,UP
1772569500,,,68435.5,-118.00,0.029004975124378107,68317.5,,,,,,,,UP,299,UP,299,UP,299,54.72,5,34.20,166.30,76.90,68317.50,68416.10,UP
1772569800,,,68423.01017234,-7.01,,,,,,,,,,UP,296,UP,296,UP,296,50.34,4,60.00,84.00,64.99,68416.00,68396.10,DOWN
1772570100,,,68413.8,-37.70,,,,,,,,,,DOWN,296,DOWN,296,DOWN,296,46.99,13,7.60,198.90,83.79,68376.10,68397.00,DOWN
1772570400,,,68419.26540026,-48.67,,,,,0.53,68425.23,-0.010000000000000009,0.77,0.24,UP,0,UP,7,UP,7,56.62,5,0.00,111.77,59.48,68370.60,68447.80,UP
1772570700,,,68336.672815,141.93,0.13099502487562192,68478.6,,,-0.11000000000000004,68478.7,-0.010000000000000009,0.45,0.56,UP,296,UP,296,UP,296,50.00,0,166.50,13.33,70.98,68478.60,68386.37,DOWN
1772598900,,,67520.2,866.17,,,,,,,,,,DOWN,219,DOWN,219,DOWN,219,47.92,4,882.00,0.00,71.47,68386.37,67554.20,DOWN
1772599200,,,67651.917,-68.92,-0.14999999999999997,67566.0,,,-0.19000000000000006,67537.53,-0.008009950248756226,0.4090049751243781,0.5990049751243781,DOWN,298,DOWN,298,DOWN,298,53.13,12,117.53,70.60,71.42,67583.00,67644.60,UP
1772599500,,,67626.8,17.80,,,,,,,,,,UP,296,UP,296,UP,296,51.31,4,50.10,83.40,39.99,67644.60,67606.90,DOWN
