Window_ID,Pre_15s_Gap,BTC_Pre_15s,BTC_Pre_60s,BTC_Velocity_60s,Gap_5s,BTC_5s,Gap_10s,BTC_10s,Gap_15s,BTC_15s,Poly_Spread_15s,UP_Bid_15s,DN_Bid_15s,First_55c_Side,First_55c_Time,First_60c_Side,First_60c_Time,First_65c_Side,First_65c_Time,RSI_1m,V_1m,Drawdown_UP,Drawdown_DN,ATR_5m,BTC_Open,BTC_Close,Winner
1774020000,,,69925.6,-307.50,,,,,,,,,,UP,149,UP,149,UP,149,53.68,109,18.00,334.80,147.59,69618.10,69822.60,UP
1774020300,,,69742.4,60.90,,,,,,,,,,UP,1,UP,1,UP,1,53.85,12,97.69,17.80,87.52,69803.30,69792.80,DOWN
1774023000,,,69921.0,-128.20,,,,,,,,,,DOWN,25,DOWN,48,UP,85,54.47,7,35.20,277.60,64.96,69792.80,69999.80,UP
1774023300,,,70016.2,-16.40,,,,,,,,,,DOWN,18,DOWN,26,DOWN,30,59.54,14,117.30,80.90,71.54,69999.80,70055.59,UP
1774025400,,,69721.7,330.80,,,,,0.010000000000000009,70063.0,-0.030000000000000027,0.53,0.48,DOWN,97,DOWN,97,DOWN,97,46.56,11,441.00,10.50,69.79,70052.50,69743.50,UP
1774025700,,,69868.3,-110.97,,,,,,,,,,UP,37,UP,42,UP,42,53.89,10,13.75,117.57,54.47,69757.33,69829.27,UP
1774026000,,,69880.38541,-50.09,,,0.25,69836.6,,,,,,UP,4,UP,10,UP,43,62.44,16,4.52,113.22,42.29,69830.30,69934.60,UP
1774026300,,,69906.0,28.60,,,,,,,,,,UP,12,DOWN,17,DOWN,17,51.32,14,244.30,0.00,125.25,69934.60,69838.50,DOWN
1774026600,,,69797.908,50.56,,,,,,,,,,UP,9,DOWN,51,DOWN,66,46.82,11,82.79,23.24,54.93,69848.46,69775.60,DOWN
1774026900,,,69798.5,-22.80,,,,,,,,,,UP,6,UP,12,UP,17,49.54,8,25.30,83.70,64.58,69775.70,69803.00,UP
1774027200,,,69760.0,42.90,,,,,,,,,,DOWN,7,DOWN,24,DOWN,37,42.78,15,78.60,4.60,60.24,69802.90,69763.40,DOWN
1774027500,,,69674.1,68.70,,,,,,,,,,DOWN,28,DOWN,72,DOWN,78,35.63,25,121.08,0.00,45.63,69742.80,69657.64,DOWN
1774027800,,,69585.3,54.70,,,,,0.20999999999999996,69640.0,-0.040000000000000036,0.62,0.4,UP,6,UP,15,UP,22,29.30,9,116.80,39.79,55.52,69640.00,69523.20,DOWN
1774028100,,,69503.4,32.80,,,,,,,,,,UP,1,UP,7,UP,7,44.29,51,136.10,85.70,101.92,69536.20,69621.90,UP
1774028400,,,69559.4,36.70,,,-0.15999999999999998,69578.7,,,,,,DOWN,14,UP,30,UP,37,42.79,11,58.90,58.84,59.55,69596.10,69559.40,DOWN
1774028700,,,69652.83,-92.03,,,0.050000000000000044,69568.4,,,,,,UP,16,UP,24,UP,48,51.57,12,0.00,93.20,62.96,69560.80,69623.60,UP
1774029000,,,69749.8,-118.90,,,,,,,,,,DOWN,16,UP,63,UP,63,65.30,17,20.44,152.30,50.51,69630.90,69772.00,UP
1774029300,,,69992.52766,-212.03,,,0.0,69784.0,,,,,,UP,40,UP,54,UP,54,77.36,49,0.00,218.70,74.06,69780.50,69919.80,UP
1774029600,,,69983.3,-13.60,,,,,,,,,,DOWN,6,DOWN,50,DOWN,60,64.73,23,73.20,16.70,52.71,69969.70,69954.95,DOWN
1774029900,,,70009.0,-71.50,,,,,0.010000000000000009,69919.10009813,-0.040000000000000036,0.53,0.47,UP,24,UP,49,UP,66,62.31,5,18.40,112.49,66.89,69937.50,69968.10,UP
1774030200,,,69979.4,-11.20,,,,,,,,,,DOWN,4,DOWN,4,DOWN,30,59.47,2,65.65,28.00,45.37,69968.20,69959.07,DOWN
1774030500,,,69942.0,31.60,,,,,,,,,,UP,4,UP,4,UP,4,54.98,4,68.60,23.11,42.57,69973.60,69947.90,DOWN
1774030800,,,69752.7,249.09,,,,,,,,,,UP,3,UP,3,UP,3,40.51,10,289.19,12.41,95.73,70001.79,69791.35,DOWN
1774031100,,,69693.3,97.61,,,0.36000000000000004,69822.1,0.29000000000000004,69829.0,0.020000000000000018,0.63,0.38,UP,2,UP,2,UP,10,33.65,22,149.41,56.49,71.47,69790.91,69641.50,DOWN
1774031400,,,69634.8,13.60,,,,,-0.050000000000000044,69641.0,-0.040000000000000036,0.51,0.5,UP,7,DOWN,38,DOWN,38,39.12,8,74.00,39.30,73.27,69648.40,69687.70,UP
1774031700,,,69551.7,138.76,,,0.06,69690.459,,,,,,UP,17,DOWN,31,DOWN,31,40.92,4,156.96,1.54,65.34,69690.46,69632.00,DOWN
1774032000,,,69696.6,-62.14,,,,,,,,,,UP,19,UP,19,UP,30,47.70,5,0.00,128.94,55.60,69634.46,69706.90,UP
1774032300,,,69726.9,-32.80,,,,,,,,,,UP,14,UP,54,UP,54,50.51,18,4.80,199.00,105.00,69694.10,69764.26,UP
1774032600,,,69833.5,-98.78,,,,,-0.050000000000000044,69750.1,-0.020000000000000018,0.49,0.5,DOWN,35,DOWN,35,UP,88,52.77,9,26.70,125.38,60.57,69734.72,69815.60,UP
1774032900,,,69707.17855749,97.02,,,,,,,,,,DOWN,40,DOWN,49,DOWN,56,56.66,8,119.52,1.10,53.29,69804.20,69748.60,DOWN
1774033200,,,69855.4,-32.10,,,,,,,,,,UP,12,UP,12,UP,12,56.81,5,34.85,62.10,56.21,69823.30,69853.40,UP
1774033500,,,69771.30663,93.26,,,,,,,,,,UP,11,UP,11,DOWN,50,51.04,4,181.09,7.94,73.05,69864.56,69805.20,DOWN
1774033800,,,69792.12621242,-1.53,,,,,,,,,,UP,4,UP,11,UP,11,55.75,2,103.38,56.40,68.95,69790.60,69845.10,UP
1774034100,,,69885.2,-25.20,,,,,,,,,,DOWN,7,DOWN,7,DOWN,109,60.71,31,57.96,62.76,59.10,69860.00,69905.55,UP
1774034400,,,69885.3,34.60,-0.010000000000000009,69919.9,,,,,,,,UP,5,DOWN,109,DOWN,116,48.63,4,125.10,41.89,56.97,69919.90,69808.40,DOWN
1774034700,,,69873.3,-161.32,,,,,,,,,,UP,19,DOWN,62,DOWN,76,53.45,4,0.00,161.42,42.45,69711.98,69863.30,UP
1774035000,,,69851.5,-9.84,,,,,,,,,,UP,0,UP,0,UP,0,44.92,5,81.92,92.34,71.25,69841.66,69759.74,DOWN
1774035300,,,69710.4,97.80,,,,,,,,,,DOWN,31,DOWN,31,DOWN,41,50.00,4,135.00,0.00,49.19,69808.20,69754.78,DOWN
1774035600,,,69897.0,-112.50,,,,,,,,,,UP,25,UP,25,UP,25,64.00,6,0.00,175.40,71.65,69784.50,69959.90,UP
1774035900,,,69930.5,52.30,,,,,,,,,,DOWN,8,DOWN,39,DOWN,39,53.45,3,87.70,3.60,55.32,69982.80,69895.10,DOWN
1774036200,,,,0.00,,,,,,,,,,UP,3,UP,11,UP,11,70.51,20,2.28,260.30,60.41,69895.20,70155.50,UP
1774036500,,,70150.1,-10.20,,,,,,,,,,UP,7,UP,141,UP,141,69.54,50,5.20,33.30,34.15,70139.90,70158.40,UP
1774036800,,,70165.9,-10.30,,,,,,,,,,DOWN,3,DOWN,17,DOWN,17,55.23,7,65.50,10.40,74.49,70155.60,70112.70,DOWN
1774037100,,,70159.49278,-59.39,,,,,,,,,,UP,31,UP,80,UP,80,60.48,2,2.59,100.30,45.96,70100.10,70199.99,UP
1774037400,,,70210.6,-34.60,,,,,,,,,,UP,30,UP,30,UP,30,59.43,3,0.00,61.70,40.07,70176.00,70198.80,UP
1774037700,,,70140.78,81.21,,,-0.030000000000000027,70201.12,,,,,,DOWN,21,DOWN,27,DOWN,27,42.14,37,233.79,0.00,67.56,70221.99,70019.80,DOWN
1774038000,,,70004.0,10.66,,,,,,,,,,DOWN,17,DOWN,29,DOWN,58,43.34,2,61.93,9.11,33.66,70014.66,70015.00,DOWN
1774038300,,,69956.1,58.90,,,,,-0.18999999999999995,70007.42670352,-0.009999999999999953,0.41,0.6,DOWN,0,DOWN,15,DOWN,130,40.18,1,65.82,7.32,24.15,70015.00,69963.48,DOWN
