# Polymarket Vortex Pulse V5 — Session Log
# Generated: 2026-03-13 07:11:03
# Snapshot rows logged every ~15s. TRADE_EVENT rows on buy/sell/settle.
#
# SNAPSHOT FIELDS:
#   Timestamp      — Wall-clock time of snapshot
#   SimBal         — Simulated wallet balance (USD)
#   LiveBal        — Live Polymarket wallet balance (USD)
#   RiskBankroll   — Current risk-adjusted bankroll available for bets (USD)
#   TimeRem        — Time remaining in current 5-min window (MM:SS)
#   BTC_Price      — Live BTC/USD price from Kraken WS / Binance fallback
#   BTC_Open       — BTC price at window open (Kraken REST)
#   BTC_Diff       — BTC_Price minus BTC_Open (USD)
#   BTC_Range      — Intra-window high-low price range (USD)
#   Odds_Score     — Polymarket UP-DN bid skew in cents (+ve = UP favoured)
#   Trend_4H       — 4-hour macro trend direction (S-UP/M-UP/W-UP/NEUTRAL/W-DOWN/M-DOWN/S-DOWN)
#   Trend_1H       — 1-hour trend direction (same scale)
#   RSI_1m         — 14-period RSI on 1-minute Binance candles
#   ATR_5m         — 5-period Average True Range on 1-minute candles (USD)
#   Sig_Slingshot  — Slingshot scanner signal this tick (WAIT/OFF/BET_UP/BET_DOWN)
#   Sig_Cobra      — Cobra scanner signal this tick
#   Sig_CoiledCobra— Coiled Cobra (CCO) scanner signal this tick
#   Sig_Flag       — BullFlag scanner signal this tick
#   Master_Score   — Net scanner consensus: (# UP signals) minus (# DOWN signals)
#   Master_Status  — Aggregate direction: BUY_UP / BUY_DN / NEUTRAL
#   Active_Scanners— Count of scanners firing a BET signal this tick
#   UP_Price       — Polymarket UP option midpoint price
#   DN_Price       — Polymarket DOWN option midpoint price
#   UP_Bid         — Polymarket UP option best bid
#   DN_Bid         — Polymarket DOWN option best bid
#   Shares_UP      — Current UP shares held
#   Shares_DN      — Current DOWN shares held
#
# TRADE_EVENT FIELDS (interleaved rows):
#   TRADE_EVENT,Time,Type,Side,Amount,ExecPrice,SigPrice,Slippage,Shares,RSI,Trend,RiskBal,MainBal,Note
Timestamp,SimBal,LiveBal,RiskBankroll,TimeRem,BTC_Price,BTC_Open,BTC_Diff,BTC_Range,Odds_Score,Trend_4H,Trend_1H,RSI_1m,ATR_5m,Sig_Slingshot,Sig_Cobra,Sig_CoiledCobra,Sig_Flag,Master_Score,Master_Status,Active_Scanners,UP_Price,DN_Price,UP_Bid,DN_Bid,Shares_UP,Shares_DN
2026-03-13 07:11:05,100.00,90.28,100.00,03:55,0.00,0.00,0.00,0.00,0,NEUTRAL,NEUTRAL,50.0,0.00,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.500,0.500,0.500,0.500,0.00,0.00
2026-03-13 07:11:21,100.00,90.28,100.00,03:39,71405.00,71382.90,22.10,22.10,21.1,NEUTRAL,S-UP,56.4,33.20,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.605,0.395,0.610,0.399,0.00,0.00
2026-03-13 07:11:36,100.00,90.28,100.00,03:24,71400.37,71382.90,17.47,22.10,23.0,NEUTRAL,S-UP,56.8,33.72,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.615,0.385,0.619,0.389,0.00,0.00
2026-03-13 07:11:53,100.00,90.28,100.00,03:08,71382.90,71382.90,0.00,22.10,-58.1,NEUTRAL,S-UP,48.5,41.24,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.210,0.790,0.219,0.800,0.00,0.00
2026-03-13 07:12:09,100.00,90.28,100.00,02:52,71264.46,71382.90,-118.44,140.54,-90.9,NEUTRAL,S-UP,38.8,48.95,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.045,0.955,0.050,0.959,0.00,0.00
2026-03-13 07:12:24,100.00,90.28,100.00,02:36,71283.10,71382.90,-99.80,140.54,-84.9,NEUTRAL,S-UP,40.7,50.93,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.075,0.925,0.080,0.929,0.00,0.00
2026-03-13 07:12:39,100.00,90.28,100.00,02:21,71299.10,71382.90,-83.80,140.54,-81.0,NEUTRAL,S-UP,42.5,53.44,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.095,0.905,0.099,0.909,0.00,0.00
2026-03-13 07:12:55,100.00,90.28,100.00,02:05,71295.28,71382.90,-87.62,140.54,-81.0,NEUTRAL,S-UP,43.2,54.33,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.095,0.905,0.099,0.909,0.00,0.00
2026-03-13 07:13:11,100.00,90.28,100.00,01:49,71298.60,71382.90,-84.30,140.54,-93.0,NEUTRAL,S-UP,40.0,50.67,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.035,0.965,0.039,0.969,0.00,0.00
2026-03-13 07:13:27,100.00,90.28,100.00,01:34,71258.80,71382.90,-124.10,149.10,-95.0,NEUTRAL,S-UP,39.2,52.33,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.025,0.975,0.029,0.979,0.00,0.00
2026-03-13 07:13:42,100.00,90.28,100.00,01:19,71256.10,71382.90,-126.80,150.99,-95.1,NEUTRAL,S-UP,38.6,53.56,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.025,0.975,0.029,0.980,0.00,0.00
2026-03-13 07:13:57,100.00,90.28,100.00,01:03,71242.02,71382.90,-140.88,162.98,-97.1,NEUTRAL,S-UP,37.9,55.16,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.015,0.985,0.019,0.990,0.00,0.00
2026-03-13 07:14:12,100.00,90.28,100.00,00:48,71253.99,71382.90,-128.91,162.98,-99.1,NEUTRAL,S-UP,39.7,51.17,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.009,0.995,0.009,1.000,0.00,0.00
2026-03-13 07:14:28,100.00,90.28,100.00,00:32,71263.10,71382.90,-119.80,162.98,-99.0,NEUTRAL,S-UP,41.2,53.26,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.010,0.995,0.010,1.000,0.00,0.00
2026-03-13 07:14:44,100.00,90.28,100.00,00:17,71271.83,71382.90,-111.07,162.98,-99.1,NEUTRAL,S-UP,42.2,54.73,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.009,0.995,0.009,1.000,0.00,0.00
2026-03-13 07:14:59,100.00,90.28,100.00,00:02,71263.10,71382.90,-119.80,162.98,-99.1,NEUTRAL,S-UP,42.2,54.73,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.009,0.995,0.009,1.000,0.00,0.00
TRADE_EVENT,2026-03-13 07:15:02,SETTLE,DOWN,0.00,1.00000,1.00000,0.00000,0.00,0.00,N/A,0.00,100.00,Win: DOWN | PnL: 0.00
2026-03-13 07:15:14,100.00,90.28,100.00,04:46,71281.20,71281.20,0.00,0.00,9.1,NEUTRAL,S-UP,43.1,51.14,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.545,0.455,0.550,0.459,0.00,0.00
