Window_ID,Pre_15s_Gap,BTC_Pre_15s,BTC_Pre_60s,BTC_Velocity_60s,Gap_5s,BTC_5s,Gap_10s,BTC_10s,Gap_15s,BTC_15s,Poly_Spread_15s,UP_Bid_15s,DN_Bid_15s,First_55c_Side,First_55c_Time,First_60c_Side,First_60c_Time,First_65c_Side,First_65c_Time,RSI_1m,V_1m,Drawdown_UP,Drawdown_DN,ATR_5m,BTC_Open,BTC_Close,Winner
1773459300,,,71069.11,75.09,,,,,,,,,,DOWN,232,DOWN,232,DOWN,240,64.40,79,75.09,12.70,47.85,71144.20,71156.90,UP
1773459600,,,71158.0,-1.10,-0.09000000000000002,71156.9,-0.22999999999999998,71153.7,-0.20999999999999996,71151.3,-0.010000000000000009,0.4,0.61,DOWN,5,DOWN,10,DOWN,138,60.47,1,26.45,16.50,20.70,71156.90,71148.55,DOWN
1773459900,,,71083.18,63.32,-0.06,71153.1,-0.16999999999999998,71153.1,-0.39000000000000007,71125.1,-0.030000000000000027,0.32,0.71,DOWN,2,DOWN,11,DOWN,15,51.56,2,72.28,6.60,32.61,71146.50,71095.37,DOWN
1773460200,,,71093.7,1.66,-0.010000000000000009,71100.3,-0.07,71100.3,-0.07,71093.6,-0.009999999999999953,0.47,0.54,DOWN,24,DOWN,105,DOWN,176,49.32,12,22.43,5.04,14.66,71095.36,71093.80,DOWN
1773460500,,,71079.5,14.30,,,-0.25,71062.54,-0.33,71062.54,-0.010000000000000009,0.34,0.67,DOWN,7,DOWN,10,DOWN,11,50.31,1,37.82,0.00,17.75,71093.80,71081.30,DOWN
1773460800,,,71085.88,-2.48,,,,,,,,,,UP,0,UP,3,UP,8,59.97,6,18.49,69.40,38.91,71083.40,71148.10,UP
1773461100,,,71175.08,-26.98,,,-0.25,71148.0,,,,,,DOWN,3,DOWN,9,DOWN,13,64.44,11,39.42,46.00,35.74,71148.10,71189.99,UP
1773461400,,,71216.27,-29.07,-0.010000000000000009,71187.2,0.050000000000000044,71199.5,0.030000000000000027,71191.04,-0.010000000000000009,0.52,0.49,UP,53,UP,59,UP,234,60.11,5,20.88,29.07,28.74,71187.20,71193.59,UP
1773461700,,,71121.7,71.89,,,,,,,,,,DOWN,12,DOWN,17,DOWN,38,51.98,15,98.62,12.71,36.94,71193.59,71140.44,DOWN
1773462000,,,71133.7,6.74,,,-0.09000000000000002,71132.3,,,,,,DOWN,4,UP,53,UP,263,49.66,1,27.05,2.04,18.48,71140.44,71128.32,DOWN
1773462300,,,,0.00,-0.030000000000000027,71133.7,,,0.010000000000000009,71133.7,-0.010000000000000009,0.51,0.5,UP,92,UP,147,UP,157,64.68,215,5.38,70.94,22.01,71133.70,71204.64,UP
1773462600,,,71153.32,43.88,,,,,,,,,,UP,0,DOWN,30,DOWN,34,61.91,27,72.86,24.80,42.19,71197.20,71217.03,UP
1773462900,,,71276.5,-66.60,0.010000000000000009,71216.5,-0.010000000000000009,71214.05,,,,,,UP,29,UP,125,UP,126,65.98,14,4.79,69.70,29.74,71209.90,71262.40,UP
1773463200,,,71297.3,-33.25,,,-0.14000000000000007,71268.9,,,,,,DOWN,7,DOWN,11,UP,73,66.18,44,15.04,35.95,24.19,71264.05,71285.42,UP
1773463500,,,71265.0,20.42,0.09000000000000002,71290.5,0.11000000000000004,71290.5,0.09000000000000002,71290.5,-0.010000000000000009,0.55,0.46,UP,2,UP,72,UP,268,66.34,16,39.41,12.48,18.97,71285.42,71297.90,UP
1773463800,,,71112.5,185.40,-0.04999999999999999,71303.59,,,,,,,,DOWN,14,DOWN,38,DOWN,58,31.88,10,215.40,5.69,56.98,71297.90,71088.09,DOWN
1773464100,,,71032.74,54.76,0.16999999999999998,71087.5,0.16999999999999998,71103.43,0.16999999999999998,71094.6,-0.010000000000000009,0.59,0.42,UP,2,UP,9,UP,49,29.59,8,66.39,18.69,26.74,71087.50,71039.57,DOWN
