# Polymarket Vortex Pulse V5 — Session Log
# Generated: 2026-03-14 20:54:50
# Snapshot rows logged every ~15s. TRADE_EVENT rows on buy/sell/settle.
#
# SNAPSHOT FIELDS:
#   Timestamp      — Wall-clock time of snapshot
#   SimBal         — Simulated wallet balance (USD)
#   LiveBal        — Live Polymarket wallet balance (USD)
#   RiskBankroll   — Current risk-adjusted bankroll available for bets (USD)
#   TimeRem        — Time remaining in current 5-min window (MM:SS)
#   BTC_Price      — Live BTC/USD price from Kraken WS / Binance fallback
#   BTC_Open       — BTC price at window open (Kraken REST)
#   BTC_Diff       — BTC_Price minus BTC_Open (USD)
#   BTC_Range      — Intra-window high-low price range (USD)
#   Odds_Score     — Polymarket UP-DN bid skew in cents (+ve = UP favoured)
#   Trend_4H       — 4-hour macro trend direction (S-UP/M-UP/W-UP/NEUTRAL/W-DOWN/M-DOWN/S-DOWN)
#   Trend_1H       — 1-hour trend direction (same scale)
#   RSI_1m         — 14-period RSI on 1-minute Binance candles
#   ATR_5m         — 5-period Average True Range on 1-minute candles (USD)
#   Sig_Slingshot  — Slingshot scanner signal this tick (WAIT/OFF/BET_UP/BET_DOWN)
#   Sig_Cobra      — Cobra scanner signal this tick
#   Sig_CoiledCobra— Coiled Cobra (CCO) scanner signal this tick
#   Sig_Flag       — BullFlag scanner signal this tick
#   Master_Score   — Net scanner consensus: (# UP signals) minus (# DOWN signals)
#   Master_Status  — Aggregate direction: BUY_UP / BUY_DN / NEUTRAL
#   Active_Scanners— Count of scanners firing a BET signal this tick
#   UP_Price       — Polymarket UP option midpoint price
#   DN_Price       — Polymarket DOWN option midpoint price
#   UP_Bid         — Polymarket UP option best bid
#   DN_Bid         — Polymarket DOWN option best bid
#   Shares_UP      — Current UP shares held
#   Shares_DN      — Current DOWN shares held
#
# TRADE_EVENT FIELDS (interleaved rows):
#   TRADE_EVENT,Time,Type,Side,Amount,ExecPrice,SigPrice,Slippage,Shares,RSI,Trend,RiskBal,MainBal,Note
Timestamp,SimBal,LiveBal,RiskBankroll,TimeRem,BTC_Price,BTC_Open,BTC_Diff,BTC_Range,Odds_Score,Trend_4H,Trend_1H,RSI_1m,ATR_5m,Sig_Slingshot,Sig_Cobra,Sig_CoiledCobra,Sig_Flag,Master_Score,Master_Status,Active_Scanners,UP_Price,DN_Price,UP_Bid,DN_Bid,Shares_UP,Shares_DN
2026-03-14 20:54:53,100.00,0.00,100.00,00:07,0.00,0.00,0.00,0.00,0,NEUTRAL,NEUTRAL,50.0,0.00,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.500,0.500,0.500,0.500,0.00,0.00
TRADE_EVENT,2026-03-14 20:55:01,SETTLE,DOWN,0.00,1.00000,1.00000,0.00000,0.00,0.00,N/A,0.00,100.00,Win: DOWN | PnL: 0.00
2026-03-14 20:55:09,100.00,89.28,100.00,04:52,70664.76,70675.60,-10.84,10.84,-2.0,NEUTRAL,NEUTRAL,59.3,4.21,OFF,OFF,OFF,OFF,1,BUY_UP,3,0.490,0.510,0.500,0.520,0.00,0.00
2026-03-14 20:55:24,100.00,89.28,100.00,04:36,70675.60,70675.60,0.00,10.85,1.0,NEUTRAL,NEUTRAL,59.3,4.21,OFF,OFF,OFF,OFF,1,BUY_UP,3,0.505,0.495,0.510,0.500,0.00,0.00
2026-03-14 20:55:40,100.00,89.28,100.00,04:20,70675.50,70675.60,-0.10,10.85,1.0,NEUTRAL,NEUTRAL,59.3,4.21,OFF,OFF,OFF,OFF,1,BUY_UP,3,0.505,0.495,0.510,0.500,0.00,0.00
2026-03-14 20:55:55,100.00,89.28,100.00,04:05,70664.75,70675.60,-10.85,10.85,7.0,NEUTRAL,NEUTRAL,59.3,4.21,OFF,OFF,OFF,OFF,1,BUY_UP,3,0.535,0.465,0.540,0.470,0.00,0.00
TRADE_EVENT,2026-03-14 20:55:58,BUY,UP,4.50,0.59000,70664.75000,-70664.16000,7.63,59.27,NEUTRAL,100.00,95.50,Pending: BET_UP_SDP|Basis Gap Rebound (Drift: -83.0c)
TRADE_EVENT,2026-03-14 20:55:58,BUY,UP,4.50,0.59000,70664.75000,-70664.16000,7.63,59.27,NEUTRAL,95.50,91.00,Pending: BET_UP_DIV|Sentiment Panic (Int: -5.3)
2026-03-14 20:56:11,91.00,89.28,91.00,03:49,70675.60,70675.60,0.00,10.85,57.0,NEUTRAL,NEUTRAL,62.2,5.58,OFF,OFF,OFF,OFF,0,NEUTRAL,4,0.785,0.215,0.790,0.220,15.25,0.00
2026-03-14 20:56:26,91.00,89.28,91.00,03:34,70675.57,70675.60,-0.03,10.85,59.0,NEUTRAL,NEUTRAL,63.6,6.37,OFF,OFF,OFF,OFF,0,NEUTRAL,4,0.795,0.205,0.800,0.210,15.25,0.00
