Timestamp,TimeRemaining,BTC_Price,BTC_Open,Diff,Range,Odds,Trend_4h,Trend_1h,RSI_1m,ATR_5m,V-UP,V-DN,Sling,Cobra,Coiled,Flag,M_Score,M_Status,Scanners,Up_Ask,Dn_Ask,Shares_UP,Shares_DN,Sim_Bal,Risk_Bal
2026-04-03 19:50:31,00:00,0.00,0.00,0.00,0.00,0,NEUTRAL,NEUTRAL,50.0,0.00,0,0,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.500,0.500,0.00,0.00,100.00,100.00
2026-04-03 19:50:46,00:00,67026.90,67026.90,0.00,0.00,0,NEUTRAL,NEUTRAL,50.0,0.00,55,0,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.590,0.375,0.00,0.00,100.00,100.00
2026-04-03 19:51:02,00:00,67049.90,67026.90,23.00,0.00,0,NEUTRAL,NEUTRAL,50.0,0.00,72,0,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.615,0.355,0.00,0.00,100.00,100.00
2026-04-03 19:51:17,00:00,67052.06,67026.90,25.16,0.00,0,NEUTRAL,NEUTRAL,50.0,0.00,77,0,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.680,0.295,0.00,0.00,100.00,100.00
2026-04-03 19:51:33,00:00,67050.00,67026.90,23.10,0.00,0,NEUTRAL,NEUTRAL,50.0,0.00,12,0,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.580,0.445,0.00,0.00,100.00,100.00
2026-04-03 19:51:49,00:00,67058.19,67026.90,31.29,0.00,0,NEUTRAL,NEUTRAL,50.0,0.00,49,0,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.620,0.380,0.00,0.00,100.00,100.00
2026-04-03 19:52:04,00:00,67058.19,67026.90,31.29,0.00,0,NEUTRAL,NEUTRAL,50.0,0.00,40,0,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.635,0.370,0.00,0.00,100.00,100.00
2026-04-03 19:52:19,00:00,67050.00,67026.90,23.10,0.00,0,NEUTRAL,NEUTRAL,50.0,0.00,25,0,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.585,0.415,0.00,0.00,100.00,100.00
2026-04-03 19:52:26,154s,67050.00,67026.90,23.10,125.96,13.0,NEUTRAL,W-UP,62.2,37.49,24,0,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.565,0.435,0.00,0.00,100.00,100.00
2026-04-03 19:52:27,153s,67050.00,67026.90,23.10,125.96,13.0,NEUTRAL,W-UP,50.0,37.49,24,0,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.565,0.435,0.00,0.00,100.00,100.00
2026-04-03 19:52:28,152s,67050.00,67026.90,23.10,125.96,13.0,NEUTRAL,W-UP,50.0,37.49,24,0,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.565,0.435,0.00,0.00,100.00,100.00
2026-04-03 19:52:29,151s,67050.00,67026.90,23.10,125.96,13.0,NEUTRAL,W-UP,50.0,37.49,24,0,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.565,0.435,0.00,0.00,100.00,100.00
2026-04-03 19:52:30,150s,67050.00,67026.90,23.10,125.96,13.0,NEUTRAL,W-UP,50.0,37.49,24,0,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.565,0.435,0.00,0.00,100.00,100.00
2026-04-03 19:52:31,149s,67050.00,67026.90,23.10,125.96,13.0,NEUTRAL,W-UP,50.0,37.49,24,0,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.565,0.435,0.00,0.00,100.00,100.00
2026-04-03 19:52:32,148s,67050.00,67026.90,23.10,125.96,13.0,NEUTRAL,W-UP,50.0,37.49,24,0,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.565,0.435,0.00,0.00,100.00,100.00
2026-04-03 19:52:33,147s,67050.00,67026.90,23.10,125.96,13.0,NEUTRAL,W-UP,50.0,37.49,24,0,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.565,0.435,0.00,0.00,100.00,100.00
2026-04-03 19:52:34,146s,67050.00,67026.90,23.10,125.96,13.0,NEUTRAL,W-UP,50.0,37.49,24,0,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.565,0.435,0.00,0.00,100.00,100.00
2026-04-03 19:52:35,145s,67050.00,67026.90,23.10,125.96,13.0,NEUTRAL,W-UP,50.0,37.49,24,0,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.565,0.435,0.00,0.00,100.00,100.00
2026-04-03 19:52:35,00:00,67050.00,67026.90,23.10,125.96,13.0,NEUTRAL,W-UP,50.0,37.49,24,0,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.565,0.435,0.00,0.00,100.00,100.00
2026-04-03 19:52:36,144s,67050.00,67026.90,23.10,125.96,13.0,NEUTRAL,W-UP,50.0,37.49,24,0,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.565,0.435,0.00,0.00,100.00,100.00
2026-04-03 19:52:37,143s,67050.00,67026.90,23.10,125.96,13.0,NEUTRAL,W-UP,50.0,37.49,24,0,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.565,0.435,0.00,0.00,100.00,100.00
2026-04-03 19:52:38,142s,67050.00,67026.90,23.10,125.96,13.0,NEUTRAL,W-UP,50.0,37.49,24,0,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.565,0.435,0.00,0.00,100.00,100.00
2026-04-03 19:52:39,141s,67050.00,67026.90,23.10,125.96,13.0,NEUTRAL,W-UP,50.0,37.49,24,0,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.565,0.435,0.00,0.00,100.00,100.00
2026-04-03 19:52:40,140s,67050.00,67026.90,23.10,125.96,13.0,NEUTRAL,W-UP,50.0,37.49,24,0,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.565,0.435,0.00,0.00,100.00,100.00
2026-04-03 19:52:41,139s,67050.00,67026.90,23.10,125.96,13.0,NEUTRAL,W-UP,50.0,37.49,24,0,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.565,0.435,0.00,0.00,100.00,100.00
2026-04-03 19:52:42,138s,67050.00,67026.90,23.10,125.96,13.0,NEUTRAL,W-UP,50.0,37.49,24,0,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.565,0.435,0.00,0.00,100.00,100.00
2026-04-03 19:52:43,137s,67050.00,67026.90,23.10,125.96,13.0,NEUTRAL,W-UP,50.0,37.49,24,0,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.565,0.435,0.00,0.00,100.00,100.00
2026-04-03 19:52:44,136s,67050.00,67026.90,23.10,125.96,13.0,NEUTRAL,W-UP,50.0,37.49,24,0,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.565,0.435,0.00,0.00,100.00,100.00
