# Polymarket Sniper V5 — Session Log
# Generated: 2026-03-01 10:46:52
# Snapshot rows logged every ~15s. TRADE_EVENT rows on buy/sell/settle.
#
# SNAPSHOT FIELDS:
#   Timestamp      — Wall-clock time of snapshot
#   SimBal         — Simulated wallet balance (USD)
#   LiveBal        — Live Polymarket wallet balance (USD)
#   RiskBankroll   — Current risk-adjusted bankroll available for bets (USD)
#   TimeRem        — Time remaining in current 5-min window (MM:SS)
#   BTC_Price      — Live BTC/USD price from Kraken WS / Binance fallback
#   BTC_Open       — BTC price at window open (Kraken REST)
#   BTC_Diff       — BTC_Price minus BTC_Open (USD)
#   BTC_Range      — Intra-window high-low price range (USD)
#   Odds_Score     — Polymarket UP-DN bid skew in cents (+ve = UP favoured)
#   Trend_4H       — 4-hour macro trend direction (S-UP/M-UP/W-UP/NEUTRAL/W-DOWN/M-DOWN/S-DOWN)
#   Trend_1H       — 1-hour trend direction (same scale)
#   RSI_1m         — 14-period RSI on 1-minute Binance candles
#   ATR_5m         — 5-period Average True Range on 1-minute candles (USD)
#   Sig_Slingshot  — Slingshot scanner signal this tick (WAIT/OFF/BET_UP/BET_DOWN)
#   Sig_Cobra      — Cobra scanner signal this tick
#   Sig_Flag       — BullFlag scanner signal this tick
#   Master_Score   — Net scanner consensus: (# UP signals) minus (# DOWN signals)
#   Master_Status  — Aggregate direction: BUY_UP / BUY_DN / NEUTRAL
#   Active_Scanners— Count of scanners firing a BET signal this tick
#   UP_Price       — Polymarket UP option midpoint price
#   DN_Price       — Polymarket DOWN option midpoint price
#   UP_Bid         — Polymarket UP option best bid
#   DN_Bid         — Polymarket DOWN option best bid
#   Shares_UP      — Current UP shares held
#   Shares_DN      — Current DOWN shares held
#
# TRADE_EVENT FIELDS (interleaved rows):
#   TRADE_EVENT,Time,Type,Side,Amount,ExecPrice,SigPrice,Slippage,Shares,RSI,Trend,RiskBal,MainBal,Note
Timestamp,SimBal,LiveBal,RiskBankroll,TimeRem,BTC_Price,BTC_Open,BTC_Diff,BTC_Range,Odds_Score,Trend_4H,Trend_1H,RSI_1m,ATR_5m,Sig_Slingshot,Sig_Cobra,Sig_Flag,Master_Score,Master_Status,Active_Scanners,UP_Price,DN_Price,UP_Bid,DN_Bid,Shares_UP,Shares_DN
2026-03-01 10:46:54,100.00,94.74,100.00,00:00,0.00,0.00,0.00,0.00,0,NEUTRAL,NEUTRAL,50.0,0.00,OFF,OFF,OFF,0,NEUTRAL,0,0.500,0.500,0.500,0.500,0.00,0.00
2026-03-01 10:47:10,100.00,94.74,100.00,02:50,67068.25,67158.30,-90.05,90.05,-81.0,S-UP,M-DOWN,32.3,35.61,OFF,OFF,OFF,0,NEUTRAL,0,0.095,0.905,0.100,0.910,0.00,0.00
2026-03-01 10:47:25,100.00,94.74,100.00,02:36,67068.25,67158.30,-90.05,101.20,-93.0,S-UP,M-DOWN,28.5,47.09,OFF,OFF,OFF,0,NEUTRAL,0,0.035,0.965,0.040,0.970,0.00,0.00
2026-03-01 10:47:41,100.00,94.74,100.00,02:19,67025.06,67158.30,-133.24,133.24,-95.0,S-UP,M-DOWN,27.8,48.49,OFF,OFF,OFF,0,NEUTRAL,0,0.025,0.975,0.030,0.980,0.00,0.00
2026-03-01 10:47:56,100.00,94.74,100.00,02:04,67025.06,67158.30,-133.24,136.10,-95.0,S-UP,M-DOWN,29.4,48.49,OFF,OFF,OFF,0,NEUTRAL,0,0.025,0.975,0.030,0.980,0.00,0.00
2026-03-01 10:48:11,100.00,94.74,100.00,01:49,67027.50,67158.30,-130.80,136.10,-95.0,S-UP,M-DOWN,32.9,49.35,OFF,OFF,OFF,0,NEUTRAL,0,0.025,0.975,0.030,0.980,0.00,0.00
2026-03-01 10:48:26,100.00,94.74,100.00,01:34,67038.05,67158.30,-120.25,136.10,-95.0,S-UP,M-DOWN,29.8,49.35,OFF,OFF,OFF,0,NEUTRAL,0,0.025,0.975,0.030,0.980,0.00,0.00
2026-03-01 10:48:42,100.00,94.74,100.00,01:18,67038.05,67158.30,-120.25,136.10,-99.0,S-UP,M-DOWN,28.8,53.54,OFF,OFF,OFF,0,NEUTRAL,0,0.010,0.995,0.010,1.000,0.00,0.00
2026-03-01 10:48:58,100.00,94.74,100.00,01:02,67031.10,67158.30,-127.20,136.10,-99.0,S-UP,M-DOWN,28.8,53.54,OFF,OFF,OFF,0,NEUTRAL,0,0.010,0.995,0.010,1.000,0.00,0.00
2026-03-01 10:49:13,100.00,94.74,100.00,00:47,67031.00,67158.30,-127.30,140.79,-99.0,S-UP,M-DOWN,31.9,46.66,OFF,OFF,OFF,0,NEUTRAL,0,0.010,0.995,0.010,1.000,0.00,0.00
2026-03-01 10:49:29,100.00,94.74,100.00,00:31,67031.00,67158.30,-127.30,140.79,-98.8,S-UP,M-DOWN,26.6,51.88,OFF,OFF,OFF,0,NEUTRAL,0,0.006,0.994,0.010,0.998,0.00,0.00
2026-03-01 10:49:44,100.00,94.74,100.00,00:17,66983.50,67158.30,-174.80,174.80,-99.9,S-UP,M-DOWN,24.9,57.47,OFF,OFF,OFF,0,NEUTRAL,0,0.001,1.000,0.001,1.000,0.00,0.00
TRADE_EVENT,2026-03-01 10:49:59,SETTLE,DOWN,0.00,1.00000,1.00000,0.00000,0.00,0.00,N/A,0.00,100.00,Win: DOWN | PnL: 0.00
2026-03-01 10:50:00,100.00,94.74,100.00,00:01,66978.40,67158.30,-179.90,179.90,-99.9,S-UP,M-DOWN,24.0,59.14,OFF,OFF,OFF,0,NEUTRAL,0,0.001,1.000,0.001,1.000,0.00,0.00
TRADE_EVENT,2026-03-01 10:50:13,BUY,DOWN,1.00,0.60000,0.60000,0.00000,1.67,21.71,S-UP,0.00,99.00,BET_DOWN_MOM|Price Threshold HIT: DOWN 61.0¢
2026-03-01 10:50:16,99.00,94.74,99.00,04:45,66950.00,66984.90,-34.90,34.90,-21.0,S-UP,M-DOWN,21.7,65.03,OFF,OFF,SKIP|Price 6693032.0c > Max 80.0c,-1,BUY_DN,1,0.390,0.605,0.400,0.610,0.00,1.67
2026-03-01 10:50:31,99.00,94.74,99.00,04:29,66937.40,66984.90,-47.50,47.50,-29.0,S-UP,M-DOWN,21.4,67.96,OFF,OFF,SKIP|Price 6692516.0c > Max 80.0c,-1,BUY_DN,1,0.355,0.645,0.360,0.650,0.00,1.67
2026-03-01 10:50:47,99.00,94.74,99.00,04:13,66933.90,66984.90,-51.00,51.00,-34.0,S-UP,M-DOWN,21.5,67.96,OFF,OFF,SKIP|Price 6692650.0c > Max 80.0c,-1,BUY_DN,1,0.330,0.670,0.340,0.680,0.00,1.67
2026-03-01 10:51:03,99.00,94.74,99.00,03:57,66929.56,66984.90,-55.34,64.10,-49.0,S-UP,M-DOWN,20.6,69.07,OFF,OFF,SKIP|Price 6691012.0c > Max 80.0c,-1,BUY_DN,1,0.255,0.745,0.260,0.750,0.00,1.67
2026-03-01 14:30:30,99.00,94.74,99.00,03:43,66900.60,66984.90,-84.30,84.30,-76.0,S-UP,M-DOWN,16.8,67.91,OFF,OFF,SKIP|Price 6682495.0c > Max 80.0c,-1,BUY_DN,1,0.105,0.895,0.130,0.890,0.00,1.67
TRADE_EVENT,2026-03-01 14:30:31,SETTLE,DOWN,1.67,1.00000,1.00000,0.00000,1.67,0.00,N/A,0.00,100.67,Win: DOWN | PnL: 0.67
TRADE_EVENT,2026-03-01 14:30:45,BUY,UP,1.00,0.70000,0.70000,0.00000,1.43,44.31,S-UP,0.00,99.67,BET_UP_MOM|Price Threshold HIT: UP 71.0¢
2026-03-01 14:30:46,99.67,94.74,99.00,04:14,66848.50,66848.50,0.00,0.00,40.0,S-UP,S-DOWN,44.3,23.95,OFF,OFF,SKIP|Price 6644358.0c > Max 80.0c,1,BUY_UP,1,0.705,0.300,0.710,0.310,1.43,0.00
2026-03-01 14:31:01,99.67,94.74,99.00,03:59,66441.10,66848.50,-407.40,426.58,49.0,S-UP,S-DOWN,45.9,23.95,OFF,OFF,SKIP|Price 6645279.0c > Max 80.0c,1,BUY_UP,1,0.745,0.255,0.750,0.260,1.43,0.00
2026-03-01 14:31:17,99.67,94.74,99.00,03:43,66444.20,66848.50,-404.30,426.58,39.0,S-UP,S-DOWN,44.3,20.04,OFF,OFF,SKIP|Price 6644358.0c > Max 80.0c,1,BUY_UP,1,0.695,0.305,0.700,0.310,1.43,0.00
2026-03-01 14:31:33,99.67,94.74,99.00,03:28,66441.00,66848.50,-407.50,426.58,9.0,S-UP,S-DOWN,42.4,22.72,OFF,OFF,SKIP|Price 6643020.0c > Max 80.0c,1,BUY_UP,1,0.540,0.455,0.550,0.460,1.43,0.00
2026-03-01 14:31:49,99.67,94.74,99.00,03:11,66446.88,66848.50,-401.62,426.58,11.0,S-UP,S-DOWN,41.5,24.04,OFF,OFF,SKIP|Price 6642357.0c > Max 80.0c,1,BUY_UP,1,0.555,0.445,0.560,0.450,1.43,0.00
2026-03-01 14:32:04,99.67,94.74,99.00,02:56,66426.61,66848.50,-421.89,426.58,-1.0,S-UP,S-DOWN,41.0,24.90,OFF,OFF,SKIP|Price 6641929.0c > Max 80.0c,1,BUY_UP,1,0.495,0.505,0.500,0.510,1.43,0.00
2026-03-01 14:32:19,99.67,94.74,99.00,02:41,66429.64,66848.50,-418.86,426.58,31.0,S-UP,S-DOWN,42.9,26.74,OFF,OFF,SKIP|Price 6642964.0c > Max 80.0c,1,BUY_UP,1,0.655,0.345,0.660,0.350,1.43,0.00
TRADE_EVENT,2026-03-01 14:32:33,SELL,UP,0.61,0.43000,0.43000,0.00000,1.43,0.00,N/A,0.00,100.28,SL HIT | Ent: 70.0¢ -> 41.5¢ (-40.7%)
TRADE_EVENT,2026-03-01 14:32:33,BUY,DOWN,1.00,0.57000,0.57000,0.00000,1.75,0.00,N/A,0.00,99.28,SL+_Recovery
2026-03-01 14:32:35,99.28,94.74,98.61,02:25,66422.30,66848.50,-426.20,426.58,-17.0,S-UP,S-DOWN,39.8,28.64,OFF,OFF,SKIP|Price 6641032.0c > Max 80.0c,1,BUY_UP,1,0.415,0.585,0.430,0.600,0.00,1.75
