# Polymarket Vortex Pulse V5 — Session Log
# Generated: 2026-03-20 17:21:54
# Snapshot rows logged every ~15s. TRADE_EVENT rows on buy/sell/settle.
#
# SNAPSHOT FIELDS:
#   Timestamp      — Wall-clock time of snapshot
#   SimBal         — Simulated wallet balance (USD)
#   LiveBal        — Live Polymarket wallet balance (USD)
#   RiskBankroll   — Current risk-adjusted bankroll available for bets (USD)
#   TimeRem        — Time remaining in current 5-min window (MM:SS)
#   BTC_Price      — Live BTC/USD price from Kraken WS / Binance fallback
#   BTC_Open       — BTC price at window open (Kraken REST)
#   BTC_Diff       — BTC_Price minus BTC_Open (USD)
#   BTC_Range      — Intra-window high-low price range (USD)
#   Odds_Score     — Polymarket UP-DN bid skew in cents (+ve = UP favoured)
#   Trend_4H       — 4-hour macro trend direction (S-UP/M-UP/W-UP/NEUTRAL/W-DOWN/M-DOWN/S-DOWN)
#   Trend_1H       — 1-hour trend direction (same scale)
#   RSI_1m         — 14-period RSI on 1-minute Binance candles
#   ATR_5m         — 5-period Average True Range on 1-minute candles (USD)
#   Sig_Slingshot  — Slingshot scanner signal this tick (WAIT/OFF/BET_UP/BET_DOWN)
#   Sig_Cobra      — Cobra scanner signal this tick
#   Sig_CoiledCobra— Coiled Cobra (CCO) scanner signal this tick
#   Sig_Flag       — BullFlag scanner signal this tick
#   Master_Score   — Net scanner consensus: (# UP signals) minus (# DOWN signals)
#   Master_Status  — Aggregate direction: BUY_UP / BUY_DN / NEUTRAL
#   Active_Scanners— Count of scanners firing a BET signal this tick
#   UP_Price       — Polymarket UP option midpoint price
#   DN_Price       — Polymarket DOWN option midpoint price
#   UP_Bid         — Polymarket UP option best bid
#   DN_Bid         — Polymarket DOWN option best bid
#   Shares_UP      — Current UP shares held
#   Shares_DN      — Current DOWN shares held
#
# TRADE_EVENT FIELDS (interleaved rows):
#   TRADE_EVENT,Time,Type,Side,Amount,ExecPrice,SigPrice,Slippage,Shares,RSI,Trend,RiskBal,MainBal,Note
Timestamp,SimBal,LiveBal,RiskBankroll,TimeRem,BTC_Price,BTC_Open,BTC_Diff,BTC_Range,Odds_Score,Trend_4H,Trend_1H,RSI_1m,ATR_5m,Sig_Slingshot,Sig_Cobra,Sig_CoiledCobra,Sig_Flag,Master_Score,Master_Status,Active_Scanners,UP_Price,DN_Price,UP_Bid,DN_Bid,Shares_UP,Shares_DN
2026-03-20 17:22:06,1000.00,0.00,1000.00,00:00,0.00,0.00,0.00,0.00,0,NEUTRAL,NEUTRAL,50.0,0.00,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.500,0.500,0.500,0.500,0.00,0.00
2026-03-20 17:22:21,1000.00,89.34,1000.00,02:39,69614.60,69618.10,-3.50,3.50,0.0,NEUTRAL,S-DOWN,42.4,55.09,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.495,0.500,0.500,0.500,0.00,0.00
2026-03-20 17:22:37,1000.00,89.34,1000.00,02:23,69614.60,69618.10,-3.50,3.50,4.0,NEUTRAL,S-DOWN,41.8,56.76,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.470,0.480,0.480,0.440,0.00,0.00
2026-03-20 17:22:53,1000.00,89.34,1000.00,02:08,69600.10,69618.10,-18.00,18.00,29.0,NEUTRAL,S-DOWN,44.1,58.74,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.645,0.350,0.660,0.370,0.00,0.00
2026-03-20 17:23:09,1000.00,89.34,1000.00,01:52,69627.57,69618.10,9.47,27.47,1.0,NEUTRAL,S-DOWN,42.9,59.88,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.545,0.465,0.500,0.490,0.00,0.00
2026-03-20 17:23:24,1000.00,89.34,1000.00,01:36,69620.50,69618.10,2.40,27.47,10.0,NEUTRAL,S-DOWN,43.0,45.11,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.585,0.440,0.580,0.480,0.00,0.00
2026-03-20 17:23:40,1000.00,89.34,1000.00,01:21,69647.80,69618.10,29.70,47.70,87.0,NEUTRAL,S-DOWN,46.2,52.21,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.820,0.125,0.920,0.050,0.00,0.00
2026-03-20 17:23:55,1000.00,89.34,1000.00,01:06,69904.40,69618.10,286.30,304.30,99.0,NEUTRAL,S-DOWN,60.0,96.03,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.990,0.005,1.000,0.010,0.00,0.00
2026-03-20 17:24:10,1000.00,89.34,1000.00,00:51,69952.90,69618.10,334.80,352.80,99.0,NEUTRAL,S-DOWN,64.1,116.21,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.995,0.005,1.000,0.010,0.00,0.00
2026-03-20 17:24:26,1000.00,89.34,1000.00,00:35,69887.90,69618.10,269.80,352.80,99.0,NEUTRAL,S-DOWN,57.8,134.27,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.995,0.005,1.000,0.010,0.00,0.00
2026-03-20 17:24:42,1000.00,89.34,1000.00,00:19,69828.00,69618.10,209.90,352.80,99.0,NEUTRAL,S-DOWN,54.9,146.46,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.995,0.005,1.000,0.010,0.00,0.00
2026-03-20 17:24:57,1000.00,89.34,1000.00,00:03,69826.10,69618.10,208.00,352.80,99.0,NEUTRAL,S-DOWN,55.2,147.59,OFF,OFF,OFF,OFF,1,BUY_UP,1,0.995,0.005,1.000,0.010,0.00,0.00
TRADE_EVENT,2026-03-20 17:25:01,SETTLE,UP,0.00,1.00000,1.00000,0.00000,0.00,0.00,N/A,0.00,1000.00,Win: UP | PnL: 0.00
2026-03-20 17:25:13,1000.00,89.34,1000.00,04:48,69803.30,69803.30,0.00,0.00,27.0,NEUTRAL,S-DOWN,53.5,150.52,OFF,OFF,OFF,OFF,1,BUY_UP,1,0.660,0.385,0.670,0.400,0.00,0.00
2026-03-20 17:25:28,1000.00,89.34,1000.00,04:32,69819.50,69803.30,16.20,16.20,-4.0,NEUTRAL,S-DOWN,54.5,145.17,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.515,0.490,0.480,0.520,0.00,0.00
2026-03-20 17:25:43,1000.00,89.34,1000.00,04:17,69765.60,69803.30,-37.70,67.10,-25.0,NEUTRAL,S-DOWN,51.8,159.06,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.400,0.605,0.380,0.630,0.00,0.00
2026-03-20 17:26:00,1000.00,89.34,1000.00,04:01,69748.00,69803.30,-55.30,71.50,-22.0,NEUTRAL,S-DOWN,51.1,159.06,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.400,0.605,0.390,0.610,0.00,0.00
TRADE_EVENT,2026-03-20 17:26:10,BUY,DOWN,36.00,0.67000,0.67000,0.00000,53.73,49.75,S-DOWN,0.00,964.00,BET_DOWN_VSN|Vol Lead D! 229.6B > 100B
2026-03-20 17:26:15,964.00,89.34,964.00,03:46,69727.90,69803.30,-75.40,91.60,-37.0,NEUTRAL,S-DOWN,49.8,148.29,OFF,OFF,OFF,OFF,-1,BUY_DN,1,0.320,0.680,0.320,0.690,0.00,53.73
2026-03-20 17:26:30,964.00,89.34,964.00,03:30,69729.30,69803.30,-74.00,91.60,-6.0,NEUTRAL,S-DOWN,50.3,149.98,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.445,0.545,0.460,0.520,0.00,53.73
2026-03-20 17:26:46,964.00,89.34,964.00,03:15,69725.44,69803.30,-77.86,108.80,-33.0,NEUTRAL,S-DOWN,49.2,159.33,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.330,0.670,0.340,0.670,0.00,53.73
2026-03-20 17:27:01,964.00,89.34,964.00,03:00,69710.70,69803.30,-92.60,108.90,-24.0,NEUTRAL,S-DOWN,49.8,159.33,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.340,0.625,0.340,0.580,0.00,53.73
2026-03-20 17:27:16,964.00,89.34,964.00,02:44,69737.20,69803.30,-66.10,108.90,-23.0,NEUTRAL,S-DOWN,50.9,154.55,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.385,0.615,0.390,0.620,0.00,53.73
2026-03-20 17:27:31,964.00,89.34,964.00,02:29,69742.87,69803.30,-60.43,113.89,2.0,NEUTRAL,S-DOWN,51.6,156.67,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.475,0.510,0.530,0.510,0.00,53.73
2026-03-20 17:27:48,964.00,89.34,964.00,02:13,69764.80,69803.30,-38.50,113.89,-25.0,NEUTRAL,S-DOWN,52.1,162.48,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.410,0.610,0.380,0.630,0.00,53.73
2026-03-20 17:28:04,964.00,89.34,964.00,01:57,69752.80,69803.30,-50.50,113.89,-14.0,NEUTRAL,S-DOWN,52.2,162.48,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.435,0.555,0.430,0.570,0.00,53.73
2026-03-20 17:28:20,964.00,89.34,964.00,01:41,69792.10,69803.30,-11.20,113.89,-8.0,NEUTRAL,S-DOWN,53.3,87.58,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.495,0.515,0.470,0.550,0.00,53.73
2026-03-20 17:28:36,964.00,89.34,964.00,01:26,69742.50,69803.30,-60.80,113.89,-44.0,NEUTRAL,S-DOWN,50.1,99.70,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.270,0.750,0.290,0.730,0.00,53.73
TRADE_EVENT,2026-03-20 17:28:49,BUY,DOWN,3.60,0.70000,0.70000,0.00000,5.14,50.97,S-DOWN,0.00,960.40,BET_DOWN_SNAP|Grind Snapped
2026-03-20 17:28:51,960.40,89.34,960.40,01:09,69722.83,69803.30,-80.47,113.89,-46.0,NEUTRAL,S-DOWN,51.0,99.70,OFF,OFF,OFF,OFF,-1,BUY_DN,1,0.280,0.720,0.280,0.740,0.00,58.87
2026-03-20 17:29:07,960.40,89.34,960.40,00:53,69728.00,69803.30,-75.30,113.89,-69.0,NEUTRAL,S-DOWN,49.5,101.03,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.170,0.890,0.210,0.900,0.00,58.87
2026-03-20 17:29:23,960.40,89.34,960.40,00:38,69761.20,69803.30,-42.10,113.89,5.0,NEUTRAL,S-DOWN,53.1,76.22,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.490,0.460,0.530,0.480,0.00,58.87
2026-03-20 17:29:38,960.40,89.34,960.40,00:22,69821.10,69803.30,17.80,115.49,30.0,NEUTRAL,S-DOWN,55.1,87.52,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.695,0.340,0.640,0.340,0.00,58.87
2026-03-20 17:29:53,960.40,89.34,960.40,00:07,69799.50,69803.30,-3.80,115.49,34.0,NEUTRAL,S-DOWN,54.0,87.52,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.645,0.365,0.690,0.350,0.00,58.87
TRADE_EVENT,2026-03-20 17:30:00,SETTLE,DOWN,58.87,1.00000,1.00000,0.00000,58.87,0.00,N/A,0.00,1019.27,Win: DOWN | PnL: 19.27
2026-03-20 17:30:10,1019.27,89.34,1019.27,04:51,69792.80,69792.80,0.00,0.00,3.0,NEUTRAL,S-DOWN,54.4,87.52,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.530,0.475,0.530,0.500,0.00,0.00
2026-03-20 17:30:25,1019.27,89.34,1019.27,04:35,69801.20,69792.80,8.40,13.30,5.0,NEUTRAL,S-DOWN,54.6,75.50,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.540,0.470,0.530,0.480,0.00,0.00
2026-03-20 17:30:40,1019.27,89.34,1019.27,04:20,69811.94,69792.80,19.14,24.04,-6.0,NEUTRAL,S-DOWN,53.5,75.50,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.480,0.545,0.490,0.550,0.00,0.00
