# Polymarket Vortex Pulse V5 — Session Log
# Generated: 2026-03-13 17:02:58
# Snapshot rows logged every ~15s. TRADE_EVENT rows on buy/sell/settle.
#
# SNAPSHOT FIELDS:
#   Timestamp      — Wall-clock time of snapshot
#   SimBal         — Simulated wallet balance (USD)
#   LiveBal        — Live Polymarket wallet balance (USD)
#   RiskBankroll   — Current risk-adjusted bankroll available for bets (USD)
#   TimeRem        — Time remaining in current 5-min window (MM:SS)
#   BTC_Price      — Live BTC/USD price from Kraken WS / Binance fallback
#   BTC_Open       — BTC price at window open (Kraken REST)
#   BTC_Diff       — BTC_Price minus BTC_Open (USD)
#   BTC_Range      — Intra-window high-low price range (USD)
#   Odds_Score     — Polymarket UP-DN bid skew in cents (+ve = UP favoured)
#   Trend_4H       — 4-hour macro trend direction (S-UP/M-UP/W-UP/NEUTRAL/W-DOWN/M-DOWN/S-DOWN)
#   Trend_1H       — 1-hour trend direction (same scale)
#   RSI_1m         — 14-period RSI on 1-minute Binance candles
#   ATR_5m         — 5-period Average True Range on 1-minute candles (USD)
#   Sig_Slingshot  — Slingshot scanner signal this tick (WAIT/OFF/BET_UP/BET_DOWN)
#   Sig_Cobra      — Cobra scanner signal this tick
#   Sig_CoiledCobra— Coiled Cobra (CCO) scanner signal this tick
#   Sig_Flag       — BullFlag scanner signal this tick
#   Master_Score   — Net scanner consensus: (# UP signals) minus (# DOWN signals)
#   Master_Status  — Aggregate direction: BUY_UP / BUY_DN / NEUTRAL
#   Active_Scanners— Count of scanners firing a BET signal this tick
#   UP_Price       — Polymarket UP option midpoint price
#   DN_Price       — Polymarket DOWN option midpoint price
#   UP_Bid         — Polymarket UP option best bid
#   DN_Bid         — Polymarket DOWN option best bid
#   Shares_UP      — Current UP shares held
#   Shares_DN      — Current DOWN shares held
#
# TRADE_EVENT FIELDS (interleaved rows):
#   TRADE_EVENT,Time,Type,Side,Amount,ExecPrice,SigPrice,Slippage,Shares,RSI,Trend,RiskBal,MainBal,Note
Timestamp,SimBal,LiveBal,RiskBankroll,TimeRem,BTC_Price,BTC_Open,BTC_Diff,BTC_Range,Odds_Score,Trend_4H,Trend_1H,RSI_1m,ATR_5m,Sig_Slingshot,Sig_Cobra,Sig_CoiledCobra,Sig_Flag,Master_Score,Master_Status,Active_Scanners,UP_Price,DN_Price,UP_Bid,DN_Bid,Shares_UP,Shares_DN
2026-03-13 17:03:02,100.00,89.28,100.00,01:58,0.00,0.00,0.00,0.00,0,NEUTRAL,NEUTRAL,50.0,0.00,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.500,0.500,0.500,0.500,0.00,0.00
2026-03-13 17:03:17,100.00,89.28,100.00,01:44,71923.70,71905.90,17.80,30.46,33.0,NEUTRAL,S-DOWN,55.4,39.89,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.665,0.335,0.670,0.340,0.00,0.00
2026-03-13 17:03:33,100.00,89.28,100.00,01:27,71930.00,71905.90,24.10,36.76,34.0,NEUTRAL,S-DOWN,54.2,40.61,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.675,0.330,0.680,0.340,0.00,0.00
2026-03-13 17:03:48,100.00,89.28,100.00,01:12,71930.00,71905.90,24.10,36.76,49.0,NEUTRAL,S-DOWN,55.9,43.45,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.745,0.255,0.760,0.270,0.00,0.00
2026-03-13 17:04:03,100.00,89.28,100.00,00:57,71908.40,71905.90,2.50,36.76,3.0,NEUTRAL,S-DOWN,53.1,36.42,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.515,0.485,0.510,0.480,0.00,0.00
2026-03-13 17:04:19,100.00,89.28,100.00,00:41,71908.40,71905.90,2.50,36.76,49.0,NEUTRAL,S-DOWN,55.1,41.76,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.730,0.255,0.750,0.260,0.00,0.00
2026-03-13 17:04:35,100.00,89.28,100.00,00:25,71930.00,71905.90,24.10,36.76,77.0,NEUTRAL,S-DOWN,56.1,45.09,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.885,0.115,0.890,0.120,0.00,0.00
2026-03-13 17:04:50,100.00,89.28,100.00,00:10,71930.00,71905.90,24.10,36.76,97.0,NEUTRAL,S-DOWN,56.5,45.09,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.985,0.015,0.990,0.020,0.00,0.00
TRADE_EVENT,2026-03-13 17:05:02,SETTLE,UP,0.00,1.00000,1.00000,0.00000,0.00,0.00,N/A,0.00,100.00,Win: UP | PnL: 0.00
2026-03-13 17:05:06,100.00,89.28,100.00,04:54,71930.70,71930.70,0.00,0.00,-1.0,NEUTRAL,S-DOWN,57.0,38.10,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.495,0.505,0.500,0.510,0.00,0.00
