Window_ID,Pre_15s_Gap,BTC_Pre_15s,BTC_Pre_60s,BTC_Velocity_60s,Gap_5s,BTC_5s,Gap_10s,BTC_10s,Gap_15s,BTC_15s,Poly_Spread_15s,UP_Bid_15s,DN_Bid_15s,First_55c_Side,First_55c_Time,First_60c_Side,First_60c_Time,First_65c_Side,First_65c_Time,RSI_1m,V_1m,Drawdown_UP,Drawdown_DN,ATR_5m,BTC_Open,BTC_Close,Winner
1773812700,,,74026.82,18.68,,,,,,,,,,UP,194,UP,194,UP,194,34.79,52,33.37,134.78,40.64,74045.50,74047.20,UP
1773813000,,,73971.39,50.81,0.040000000000000036,74022.2,,,,,,,,UP,2,DOWN,16,DOWN,16,22.40,73,127.10,67.58,44.64,74022.20,73999.50,DOWN
1773813300,,,73957.12519201,-85.33,,,,,,,,,,UP,4,UP,4,UP,32,42.71,37,8.96,121.60,50.03,73871.80,73978.53,UP
1773813600,,,74049.5,-56.10,,,,,,,,,,DOWN,3,UP,22,UP,36,56.12,7,28.04,57.50,38.48,73993.40,74040.63,UP
1773813900,,,74085.8,-37.94,,,,,,,,,,UP,2,DOWN,2,DOWN,2,59.93,1,0.00,42.14,18.85,74047.86,74088.20,UP
1773814200,,,74117.7,-27.54,,,,,,,,,,DOWN,3,DOWN,63,DOWN,108,63.02,4,50.68,32.84,25.10,74090.16,74111.45,UP
1773814500,,,74108.2,5.79,,,,,,,,,,UP,1,DOWN,61,DOWN,65,62.38,31,71.54,3.71,22.98,74113.99,74103.49,UP
1773814800,,,74134.9,-10.40,,,,,,,,,,UP,36,UP,36,DOWN,87,69.58,14,53.35,110.20,53.72,74124.50,74234.70,UP
1773815100,,,74221.5,-1.50,,,,,,,,,,UP,19,DOWN,53,DOWN,58,61.71,3,31.60,14.80,23.65,74220.00,74199.49,DOWN
1773815400,,,74210.36,-21.96,,,,,,,,,,DOWN,12,UP,49,UP,129,54.91,37,8.36,45.20,26.27,74188.40,74204.10,DOWN
