# Polymarket Vortex Pulse V5 — Session Log
# Generated: 2026-03-18 08:46:17
# Snapshot rows logged every ~15s. TRADE_EVENT rows on buy/sell/settle.
#
# SNAPSHOT FIELDS:
#   Timestamp      — Wall-clock time of snapshot
#   SimBal         — Simulated wallet balance (USD)
#   LiveBal        — Live Polymarket wallet balance (USD)
#   RiskBankroll   — Current risk-adjusted bankroll available for bets (USD)
#   TimeRem        — Time remaining in current 5-min window (MM:SS)
#   BTC_Price      — Live BTC/USD price from Kraken WS / Binance fallback
#   BTC_Open       — BTC price at window open (Kraken REST)
#   BTC_Diff       — BTC_Price minus BTC_Open (USD)
#   BTC_Range      — Intra-window high-low price range (USD)
#   Odds_Score     — Polymarket UP-DN bid skew in cents (+ve = UP favoured)
#   Trend_4H       — 4-hour macro trend direction (S-UP/M-UP/W-UP/NEUTRAL/W-DOWN/M-DOWN/S-DOWN)
#   Trend_1H       — 1-hour trend direction (same scale)
#   RSI_1m         — 14-period RSI on 1-minute Binance candles
#   ATR_5m         — 5-period Average True Range on 1-minute candles (USD)
#   Sig_Slingshot  — Slingshot scanner signal this tick (WAIT/OFF/BET_UP/BET_DOWN)
#   Sig_Cobra      — Cobra scanner signal this tick
#   Sig_CoiledCobra— Coiled Cobra (CCO) scanner signal this tick
#   Sig_Flag       — BullFlag scanner signal this tick
#   Master_Score   — Net scanner consensus: (# UP signals) minus (# DOWN signals)
#   Master_Status  — Aggregate direction: BUY_UP / BUY_DN / NEUTRAL
#   Active_Scanners— Count of scanners firing a BET signal this tick
#   UP_Price       — Polymarket UP option midpoint price
#   DN_Price       — Polymarket DOWN option midpoint price
#   UP_Bid         — Polymarket UP option best bid
#   DN_Bid         — Polymarket DOWN option best bid
#   Shares_UP      — Current UP shares held
#   Shares_DN      — Current DOWN shares held
#
# TRADE_EVENT FIELDS (interleaved rows):
#   TRADE_EVENT,Time,Type,Side,Amount,ExecPrice,SigPrice,Slippage,Shares,RSI,Trend,RiskBal,MainBal,Note
Timestamp,SimBal,LiveBal,RiskBankroll,TimeRem,BTC_Price,BTC_Open,BTC_Diff,BTC_Range,Odds_Score,Trend_4H,Trend_1H,RSI_1m,ATR_5m,Sig_Slingshot,Sig_Cobra,Sig_CoiledCobra,Sig_Flag,Master_Score,Master_Status,Active_Scanners,UP_Price,DN_Price,UP_Bid,DN_Bid,Shares_UP,Shares_DN
2026-03-18 08:46:19,100.00,89.34,100.00,03:41,0.00,0.00,0.00,0.00,0,NEUTRAL,NEUTRAL,50.0,0.00,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.500,0.500,0.500,0.500,0.00,0.00
2026-03-18 08:46:35,100.00,89.34,100.00,03:25,74089.10,74076.40,12.70,22.31,-15.0,NEUTRAL,M-DOWN,42.8,42.33,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.425,0.575,0.430,0.580,0.00,0.00
2026-03-18 08:46:51,100.00,89.34,100.00,03:09,74089.00,74076.40,12.60,31.27,-15.0,NEUTRAL,M-DOWN,42.2,43.08,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.425,0.575,0.430,0.580,0.00,0.00
2026-03-18 08:47:07,100.00,89.34,100.00,02:53,74089.10,74076.40,12.70,31.27,15.0,NEUTRAL,M-DOWN,44.7,40.50,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.575,0.425,0.580,0.430,0.00,0.00
2026-03-18 08:47:22,100.00,89.34,100.00,02:38,74089.10,74076.40,12.70,31.27,9.0,NEUTRAL,M-DOWN,46.0,43.10,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.545,0.455,0.550,0.460,0.00,0.00
2026-03-18 08:47:38,100.00,89.34,100.00,02:22,74077.92,74076.40,1.52,31.27,11.0,NEUTRAL,M-DOWN,46.5,43.31,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.555,0.445,0.560,0.450,0.00,0.00
2026-03-18 08:47:53,100.00,89.34,100.00,02:07,74100.00,74076.40,23.60,33.21,31.0,NEUTRAL,M-DOWN,47.7,43.90,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.655,0.345,0.660,0.350,0.00,0.00
2026-03-18 08:48:09,100.00,89.34,100.00,01:51,74109.10,74076.40,32.70,42.31,45.0,NEUTRAL,M-DOWN,50.7,43.87,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.725,0.275,0.730,0.280,0.00,0.00
2026-03-18 08:48:24,100.00,89.34,100.00,01:36,74109.10,74076.40,32.70,42.31,37.0,NEUTRAL,M-DOWN,50.7,43.87,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.685,0.315,0.690,0.320,0.00,0.00
2026-03-18 08:48:40,100.00,89.34,100.00,01:20,74109.10,74076.40,32.70,50.96,28.0,NEUTRAL,M-DOWN,50.7,43.87,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.640,0.365,0.650,0.370,0.00,0.00
2026-03-18 08:48:56,100.00,89.34,100.00,01:04,74122.20,74076.40,45.80,55.51,33.0,NEUTRAL,M-DOWN,50.7,43.87,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.670,0.340,0.680,0.350,0.00,0.00
2026-03-18 08:49:11,100.00,89.34,100.00,00:49,74122.29,74076.40,45.89,55.51,19.0,NEUTRAL,M-DOWN,51.1,26.03,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.595,0.405,0.600,0.410,0.00,0.00
2026-03-18 08:49:26,100.00,89.34,100.00,00:35,74122.20,74076.40,45.80,55.51,-47.0,NEUTRAL,M-DOWN,47.0,33.11,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.265,0.735,0.270,0.740,0.00,0.00
2026-03-18 08:49:42,100.00,89.34,100.00,00:18,74112.50,74076.40,36.10,55.51,-14.0,NEUTRAL,M-DOWN,44.8,34.26,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.430,0.570,0.450,0.590,0.00,0.00
2026-03-18 08:49:58,100.00,89.34,100.00,00:02,74075.80,74076.40,-0.60,58.11,-77.0,NEUTRAL,M-DOWN,42.1,41.28,OFF,OFF,OFF,OFF,-1,BUY_DN,1,0.135,0.905,0.160,0.930,0.00,0.00
TRADE_EVENT,2026-03-18 08:50:00,SETTLE,DOWN,0.00,1.00000,1.00000,0.00000,0.00,0.00,N/A,0.00,100.00,Win: DOWN | PnL: 0.00
2026-03-18 08:50:14,100.00,89.34,100.00,04:46,74049.97,74055.52,-5.55,5.55,15.0,NEUTRAL,M-DOWN,43.6,34.22,OFF,OFF,OFF,OFF,0,NEUTRAL,2,0.575,0.425,0.580,0.430,0.00,0.00
2026-03-18 08:50:29,100.00,89.34,100.00,04:31,74077.20,74055.52,21.68,27.23,19.0,NEUTRAL,M-DOWN,44.4,35.13,OFF,OFF,OFF,OFF,-1,BUY_DN,1,0.595,0.405,0.600,0.410,0.00,0.00
2026-03-18 08:50:45,100.00,89.34,100.00,04:15,74056.04,74055.52,0.52,27.23,20.0,NEUTRAL,M-DOWN,44.6,35.43,OFF,OFF,OFF,OFF,-1,BUY_DN,1,0.600,0.400,0.610,0.410,0.00,0.00
2026-03-18 08:51:00,100.00,89.34,100.00,04:00,74066.71,74055.52,11.19,35.33,29.0,NEUTRAL,M-DOWN,46.2,37.57,OFF,OFF,OFF,OFF,-1,BUY_DN,1,0.645,0.355,0.650,0.360,0.00,0.00
2026-03-18 08:51:15,100.00,89.34,100.00,03:45,74083.42,74055.52,27.90,35.33,23.0,NEUTRAL,M-DOWN,46.2,33.81,OFF,OFF,OFF,OFF,-1,BUY_DN,1,0.615,0.385,0.620,0.390,0.00,0.00
2026-03-18 08:51:31,100.00,89.34,100.00,03:30,74085.40,74055.52,29.88,40.03,21.0,NEUTRAL,M-DOWN,45.2,35.29,OFF,OFF,OFF,OFF,-1,BUY_DN,1,0.605,0.395,0.610,0.400,0.00,0.00
2026-03-18 08:51:46,100.00,89.34,100.00,03:14,74090.00,74055.52,34.48,40.03,21.0,NEUTRAL,M-DOWN,46.5,35.73,OFF,OFF,OFF,OFF,-1,BUY_DN,1,0.605,0.395,0.610,0.400,0.00,0.00
TRADE_EVENT,2026-03-18 08:52:01,BUY,UP,8.10,0.63000,0.63000,0.00000,12.86,46.54,M-DOWN,0.00,91.90,BET_UP_NIT|BTC Gap $35.62 > ATR $29.39
2026-03-18 08:52:02,91.90,89.34,91.90,02:58,74091.14,74055.52,35.62,41.17,27.0,NEUTRAL,M-DOWN,46.5,29.39,OFF,OFF,OFF,OFF,0,NEUTRAL,2,0.635,0.365,0.640,0.370,12.86,0.00
2026-03-18 08:52:18,91.90,89.34,91.90,02:42,74104.00,74055.52,48.48,54.03,31.0,NEUTRAL,M-DOWN,47.8,30.88,OFF,OFF,OFF,OFF,-1,BUY_DN,1,0.655,0.345,0.660,0.350,12.86,0.00
2026-03-18 08:52:34,91.90,89.34,91.90,02:26,74103.90,74055.52,48.38,54.03,27.0,NEUTRAL,M-DOWN,48.6,32.09,OFF,OFF,OFF,OFF,-1,BUY_DN,1,0.635,0.360,0.640,0.370,12.86,0.00
2026-03-18 08:52:50,91.90,89.34,91.90,02:10,74104.00,74055.52,48.48,54.03,29.0,NEUTRAL,M-DOWN,48.4,32.09,OFF,OFF,OFF,OFF,-1,BUY_DN,1,0.645,0.355,0.650,0.360,12.86,0.00
2026-03-18 08:53:06,91.90,89.34,91.90,01:54,74104.00,74055.52,48.48,54.03,25.0,NEUTRAL,M-DOWN,47.7,28.23,OFF,OFF,OFF,OFF,-1,BUY_DN,1,0.625,0.375,0.630,0.380,12.86,0.00
2026-03-18 08:53:21,91.90,89.34,91.90,01:39,74104.97,74055.52,49.44,55.00,29.0,NEUTRAL,M-DOWN,47.7,28.24,OFF,OFF,OFF,OFF,-1,BUY_DN,1,0.645,0.355,0.650,0.360,12.86,0.00
2026-03-18 08:53:37,91.90,89.34,91.90,01:23,74104.97,74055.52,49.44,55.00,33.0,NEUTRAL,M-DOWN,47.7,28.24,OFF,OFF,OFF,OFF,-1,BUY_DN,1,0.665,0.335,0.670,0.340,12.86,0.00
2026-03-18 08:53:52,91.90,89.34,91.90,01:08,74103.80,74055.52,48.28,55.00,46.0,NEUTRAL,M-DOWN,47.7,28.24,OFF,OFF,OFF,OFF,-1,BUY_DN,1,0.730,0.275,0.740,0.280,12.86,0.00
2026-03-18 08:54:08,91.90,89.34,91.90,00:52,74100.49,74055.52,44.97,55.00,71.0,NEUTRAL,M-DOWN,47.7,16.02,OFF,OFF,OFF,OFF,-1,BUY_DN,1,0.855,0.145,0.860,0.150,12.86,0.00
TRADE_EVENT,2026-03-18 08:54:22,BUY,UP,8.10,0.89000,0.89000,0.00000,9.10,47.72,M-DOWN,0.00,83.80,BET_UP_MOSHE_90|High Probability Win (BTC Diff: $48.28)
2026-03-18 08:54:24,83.80,89.34,83.80,00:36,74103.80,74055.52,48.28,55.00,79.0,NEUTRAL,M-DOWN,47.7,16.02,OFF,OFF,OFF,OFF,0,NEUTRAL,2,0.895,0.105,0.900,0.110,21.96,0.00
2026-03-18 08:54:40,83.80,89.34,83.80,00:20,74103.80,74055.52,48.28,55.00,81.0,NEUTRAL,M-DOWN,47.7,16.02,OFF,OFF,OFF,OFF,-1,BUY_DN,1,0.905,0.095,0.910,0.100,21.96,0.00
TRADE_EVENT,2026-03-18 08:54:56,SELL,UP,12.73,0.99000,0.99000,0.00000,12.86,0.00,N/A,0.00,96.53,TP: 63.0 -> 98.5¢ (+56.3%)
TRADE_EVENT,2026-03-18 08:54:56,SELL,UP,9.01,0.99000,0.99000,0.00000,9.10,0.00,N/A,0.00,105.54,TP: 89.0 -> 98.5¢ (+10.7%)
2026-03-18 08:54:56,105.54,89.34,105.54,00:04,74103.84,74055.52,48.32,55.00,97.0,NEUTRAL,M-DOWN,49.0,16.02,OFF,OFF,OFF,OFF,0,NEUTRAL,2,0.985,0.015,0.990,0.020,0.00,0.00
TRADE_EVENT,2026-03-18 08:55:04,SETTLE,UP,0.00,1.00000,1.00000,0.00000,0.00,0.00,N/A,0.00,105.54,Win: UP | PnL: 5.54
2026-03-18 08:55:11,105.54,89.34,105.54,04:49,74103.80,74103.70,0.10,0.10,3.0,NEUTRAL,M-DOWN,48.2,10.99,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.515,0.485,0.520,0.490,0.00,0.00
2026-03-18 08:55:26,105.54,89.34,105.54,04:34,74103.80,74103.70,0.10,0.10,5.0,NEUTRAL,M-DOWN,48.2,10.99,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.525,0.475,0.530,0.480,0.00,0.00
2026-03-18 08:55:42,105.54,89.34,105.54,04:18,74103.80,74103.70,0.10,2.45,-21.0,NEUTRAL,M-DOWN,45.3,14.59,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.395,0.605,0.410,0.620,0.00,0.00
2026-03-18 08:55:58,105.54,89.34,105.54,04:02,74101.30,74103.70,-2.40,4.85,-31.0,NEUTRAL,M-DOWN,44.5,15.58,OFF,OFF,OFF,OFF,0,NEUTRAL,0,0.345,0.655,0.360,0.670,0.00,0.00
TRADE_EVENT,2026-03-18 08:56:06,BUY,DOWN,9.50,0.71000,0.71000,0.00000,13.38,42.47,M-DOWN,0.00,96.04,BET_DOWN_VSN|Vol Lead D! 234.7B > 100B
TRADE_EVENT,2026-03-18 08:56:09,BUY,DOWN,9.50,0.69000,0.69000,0.00000,13.77,42.05,M-DOWN,0.00,86.54,BET_DOWN_NIT|BTC Gap $22.00 > ATR $17.05
2026-03-18 08:56:14,86.54,89.34,86.54,03:46,74081.70,74103.70,-22.00,24.45,-39.0,NEUTRAL,M-DOWN,42.1,17.05,OFF,OFF,OFF,OFF,-1,BUY_DN,1,0.305,0.695,0.310,0.700,0.00,27.14
